row_label_raw,row_label_full,col_0,1/1/2024Giá trị ghi sổ và sốcó khả năng trả nợ(**)Nghìn VND,Biến động trong năm > TăngNghìn VND,Biến động trong năm > GiảmNghìn VND,31/12/2024Giá trị ghi sổ và sốcó khả năng trả nợ(**)Nghìn VND,numeric__1/1/2024Giá trị ghi sổ và sốcó khả năng trả nợ(**)Nghìn VND,numeric__Biến động trong năm > TăngNghìn VND,numeric__Biến động trong năm > GiảmNghìn VND,numeric__31/12/2024Giá trị ghi sổ và sốcó khả năng trả nợ(**)Nghìn VND
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),26.200.000,512.800.000,(526.200.000),12.800.000,26200000.0,512800000.0,-526200000.0,12800000.0
Trái phiếu dài hạn đến hạntrả (Thuyết minh 12(b)),Trái phiếu dài hạn đến hạntrả (Thuyết minh 12(b)),Trái phiếu dài hạn đến hạntrả (Thuyết minh 12(b)),1.500.000.000,-,(1.500.000.000),-,1500000000.0,,-1500000000.0,
,,,1.526.200.000,512.800.000,(2.026.200.000),12.800.000,1526200000.0,512800000.0,-2026200000.0,12800000.0
