row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2024Nghìn VND,2023Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__2024Nghìn VND,numeric__2023Nghìn VND
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuếĐiều chỉnh cho các khoản,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,,562.749,422.479,1.0,,562749.0,422479.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(245.434.562),(328.410.966),5.0,,-245434562.0,-328410966.0
Chi phí lãi vay và chi phí đi vay,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay,Chi phí lãi vay và chi phí đi vay,06,,240.863.927,317.143.487,6.0,,240863927.0,317143487.0
Lỗ từ hoạt động kinh doanh trước những thayđối vốn lưu động,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ từ hoạt động kinh doanh trước những thayđối vốn lưu động,Lỗ từ hoạt động kinh doanh trước những thayđối vốn lưu động,08,,(4.007.886),(10.845.000),8.0,,-4007886.0,-10845000.0
Biến động các khoản phải thu và tài sản khác,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,28.329.471,(18.871.353),9.0,,28329471.0,-18871353.0
Biến động các khoản phải trả vànợ phải trả khác,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,,(2.539.964),8.284.411,11.0,,-2539964.0,8284411.0
,,,,,21.781.621,(21.431.942),,,21781621.0,-21431942.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(276.826.716),(312.647.620),14.0,,-276826716.0,-312647620.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(55.652),(247.887),15.0,,-55652.0,-247887.0
Lưu chuyển tiền thuần từ hoạt độngkinh doanh,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt độngkinh doanh,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,20,,(255.100.747),(334.327.449),20.0,,-255100747.0,-334327449.0
LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định vàtài sản dài hạn khác","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định vàtài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định vàtài sản dài hạn khác",21,,-,(13.513.109),21.0,,,-13513109.0
"Tiền chi cho vay, mua các công cụ nợ củacác đơn vị khác","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua các công cụ nợ củacác đơn vị khác","Tiền chi cho vay, mua các công cụ nợ củacác đơn vị khác",23,,(1.500.000.000),-,23.0,,-1500000000.0,
"Tiền thu hồi cho vay, bán lại các công cụ nợ củacác đơn vị khác","LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán lại các công cụ nợ củacác đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ củacác đơn vị khác",24,,3.000.000.000,-,24.0,,3000000000.0,
Tiền thu lãi cho vay và tiền gửi,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay và tiền gửi,Tiền thu lãi cho vay và tiền gửi,27,,271.493.189,343.397.559,27.0,,271493189.0,343397559.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,1.771.493.189,329.884.450,30.0,,1771493189.0,329884450.0
