row_label_raw,row_label_full,Bà Nguyễn Lưu Tuyên,Trường Ban,numeric__Trường Ban
Bà Nguyễn Thị Thanh Thảo,Bà Nguyễn Thị Thanh Thảo,Bà Nguyễn Thị Thanh Thảo,Thành viên,
Ông Đăng Hồng Tân,Ông Đăng Hồng Tân,Ông Đăng Hồng Tân,Thành viên,
