row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,8.673.072.804,39.747.788.864,48.420.861.668,8673072804.0,39747788864.0,48420861668.0
Chuyển từ hàng tồn kho,Nguyên giá: > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,4.134.687.195,4.134.687.195,,4134687195.0,4134687195.0
Chuyển từ tài sản cố định,Nguyên giá: > Chuyển từ tài sản cố định,Chuyển từ tài sản cố định,810.193.022,3.514.877.313,4.325.070.335,810193022.0,3514877313.0,4325070335.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,9.483.265.826,47.397.353.372,56.880.619.198,9483265826.0,47397353372.0,56880619198.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,816.491.827,816.491.827,,816491827.0,816491827.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(8.517.217.981),(7.063.198.982),(15.580.416.963),-8517217981.0,-7063198982.0,-15580416963.0
Tăng trong năm,Giá trị khấu hao và hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(154.986.386),(1.849.333.533),(2.004.319.919),-154986386.0,-1849333533.0,-2004319919.0
Chuyển từ tài sản cố định,Giá trị khấu hao và hao mòn lũy kế: > Chuyển từ tài sản cố định,Chuyển từ tài sản cố định,(159.452.882),(1.452.834.201),(1.612.287.083),-159452882.0,-1452834201.0,-1612287083.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(8.831.657.249),(10.365.366.716),(19.197.023.965),-8831657249.0,-10365366716.0,-19197023965.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,155.854.823,32.684.589.882,32.840.444.705,155854823.0,32684589882.0,32840444705.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,651.608.577,37.031.986.656,37.683.595.233,651608577.0,37031986656.0,37683595233.0
