row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__VNDGiá trị cam kết còn lại
Dự án Khu Đô Thị Vàm,Dự án Khu Đô Thị Vàm,Dự án Khu Đô Thị Vàm,Dự án Khu Đô Thị Vàm,Dự án Khu Đô Thị Vàm,Dự án Khu Đô Thị Vàm,,,
Cổ Đông,Dự án Khu Đô Thị Vàm > Cổ Đông,Cổ Đông,327.080.070.000,282.119.740.000,44.960.330.000,327080070000.0,282119740000.0,44960330000.0
Dự án Areco,Dự án Khu Đô Thị Vàm > Dự án Areco,Dự án Areco,199.436.860.000,68.965.240.000,130.471.620.000,199436860000.0,68965240000.0,130471620000.0
Dự án Fuji Residence,Dự án Khu Đô Thị Vàm > Dự án Fuji Residence,Dự án Fuji Residence,168.386.290.000,167.614.980.000,771.310.000,168386290000.0,167614980000.0,771310000.0
Dự án Flora Anh Đào,Dự án Khu Đô Thị Vàm > Dự án Flora Anh Đào,Dự án Flora Anh Đào,156.241.620.000,144.365.950.000,11.875.670.000,156241620000.0,144365950000.0,11875670000.0
Dự án Bình Dương,Dự án Khu Đô Thị Vàm > Dự án Bình Dương,Dự án Bình Dương,63.982.880.000,63.932.090.000,50.790.000,63982880000.0,63932090000.0,50790000.0
Dự án Hoàng Nam,Dự án Khu Đô Thị Vàm > Dự án Hoàng Nam,Dự án Hoàng Nam,58.277.550.000,28.812.730.000,29.464.820.000,58277550000.0,28812730000.0,29464820000.0
Dự án Long An,Dự án Khu Đô Thị Vàm > Dự án Long An,Dự án Long An,57.172.760.000,48.284.400.000,8.888.360.000,57172760000.0,48284400000.0,8888360000.0
Dự án Nguyên Sơn,Dự án Khu Đô Thị Vàm > Dự án Nguyên Sơn,Dự án Nguyên Sơn,56.132.790.000,16.718.250.000,39.414.540.000,56132790000.0,16718250000.0,39414540000.0
Dự án Tân Thuận Đông,Dự án Khu Đô Thị Vàm > Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,47.290.290.000,46.523.330.000,766.960.000,47290290000.0,46523330000.0,766960000.0
Dự án Kykio Residence,Dự án Khu Đô Thị Vàm > Dự án Kykio Residence,Dự án Kykio Residence,26.715.680.000,22.328.070.000,4.387.610.000,26715680000.0,22328070000.0,4387610000.0
Các dự án khác,Dự án Khu Đô Thị Vàm > Các dự án khác,Các dự án khác,38.716.280.000,29.332.260.000,9.384.020.000,38716280000.0,29332260000.0,9384020000.0
TỔNG CỘNG,Dự án Khu Đô Thị Vàm > TỔNG CỘNG,TỔNG CỘNG,1.199.433.070.000,918.997.040.000,280.436.030.000,1199433070000.0,918997040000.0,280436030000.0
