row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),,,,
NNH Mizuki,Phải thu ngắn hạn của khách hàng (TM số 6) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Phải thu dịch vụ tổng thầu và xây dựng,5.681.166.985,6.612.908.329,,,5681166985.0,6612908329.0
Các cá nhân,Phải thu ngắn hạn của khách hàng (TM số 6) > Các cá nhân,Các cá nhân,Cổ đông,Bán căn hộ,161.005.097,341.755.097,,,161005097.0,341755097.0
,,,,,5.842.172.082,6.954.663.426,,,5842172082.0,6954663426.0
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,,
NNH Mizuki,Phải thu ngắn hạn khác (TM số 9) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Chi trả hộ,-,550.000.000,,,,550000000.0
Khách hàng trả tiền trước ngắn hạn (TM số 18),Khách hàng trả tiền trước ngắn hạn (TM số 18),Khách hàng trả tiền trước ngắn hạn (TM số 18),Khách hàng trả tiền trước ngắn hạn (TM số 18),Khách hàng trả tiền trước ngắn hạn (TM số 18),Khách hàng trả tiền trước ngắn hạn (TM số 18),Khách hàng trả tiền trước ngắn hạn (TM số 18),,,,
NNH Mizuki,Khách hàng trả tiền trước ngắn hạn (TM số 18) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Tạm ứng cho mua dịch vụ,43.900.075.512,13.323.474.303,,,43900075512.0,13323474303.0
Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),,,,
NNH Mizuki,Phải trả ngắn hạn khác (TM số 21) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Góp vốn HĐHTKD,5.650.000.000,-,,,5650000000.0,
