row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,54.079.091.123,13.130.125.769,8.645.476.184,6.008.023.788,1.472.333.846,83.335.050.710,54079091123.0,13130125769.0,8645476184.0,6008023788.0,1472333846.0,83335050710.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,3.056.181.818,311.818.182,189.285.455,52.200.000,3.609.485.455,,3056181818.0,311818182.0,189285455.0,52200000.0,3609485455.0
Chuyển sang bất động sảnđầu tư,Nguyên giá: > Chuyển sang bất động sảnđầu tư,Chuyển sang bất động sảnđầu tư,(3.514.877.313),-,-,-,-,(3.514.877.313),-3514877313.0,,,,,-3514877313.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,50.564.213.810,16.186.307.587,8.957.294.366,6.197.309.243,1.524.533.846,83.429.658.852,50564213810.0,16186307587.0,8957294366.0,6197309243.0,1524533846.0,83429658852.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,3.738.339.282,3.115.209.990,1.705.921.744,2.427.567.201,1.292.036.145,12.279.074.362,3738339282.0,3115209990.0,1705921744.0,2427567201.0,1292036145.0,12279074362.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(21.369.919.107),(7.454.784.102),(6.250.849.856),(3.650.901.862),(1.054.374.124),(39.780.829.051),-21369919107.0,-7454784102.0,-6250849856.0,-3650901862.0,-1054374124.0,-39780829051.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.614.547.726),(1.435.469.857),(1.662.647.675),(479.389.323),(95.974.167),(5.288.028.748),-1614547726.0,-1435469857.0,-1662647675.0,-479389323.0,-95974167.0,-5288028748.0
Chuyển sang bất động sảnđầu tư,Giá trị khấu hao lũy kế: > Chuyển sang bất động sảnđầu tư,Chuyển sang bất động sảnđầu tư,1.452.834.201,-,-,-,-,1.452.834.201,1452834201.0,,,,,1452834201.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(21.531.632.632),(8.890.253.959),(7.913.497.531),(4.130.291.185),(1.150.348.291),(43.616.023.598),-21531632632.0,-8890253959.0,-7913497531.0,-4130291185.0,-1150348291.0,-43616023598.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,32.709.172.016,5.675.341.667,2.394.626.328,2.357.121.926,417.959.722,43.554.221.659,32709172016.0,5675341667.0,2394626328.0,2357121926.0,417959722.0,43554221659.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,29.032.581.178,7.296.053.628,1.043.796.835,2.067.018.058,374.185.555,39.813.635.254,29032581178.0,7296053628.0,1043796835.0,2067018058.0,374185555.0,39813635254.0
