row_label_raw,row_label_full,Ông Chu Chee Kwang,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Châu Quang Phúc,Ông Châu Quang Phúc,Ông Châu Quang Phúc,Giám đốc Tài chính,,,
Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Giám đốc Đầu tư,từ nhiệm ngày 30 tháng 9 năm 2018,,
