row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,219.793.957.359,163.281.698.774,56.512.258.585,112.813.198.336,219793957359.0,163281698774.0,56512258585.0,112813198336.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,32.701.605.411,27.720.182.689,4.981.422.722,12.368.901.246,32701605411.0,27720182689.0,4981422722.0,12368901246.0
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,2.717.414.216,3.465.071.848,(747.657.632),676.244.079,2717414216.0,3465071848.0,-747657632.0,676244079.0
,,,255.212.976.986,194.466.953.311,,,255212976986.0,194466953311.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Lỗ thuế hoãn lại,Thuế TNDN hoãn lại phải trả > Lỗ thuế hoãn lại,Lỗ thuế hoãn lại,-,-,-,2.696.372.478,,,,2696372478.0
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,(12.180.096.634),(36.636.898.067),24.456.801.432,15.998.597.800,-12180096634.0,-36636898067.0,24456801432.0,15998597800.0
,,,(12.180.096.634),(36.636.898.067),,,-12180096634.0,-36636898067.0,,
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,85.202.825.107,144.553.313.939,,,85202825107.0,144553313939.0
