row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu,Doanh thu,Doanh thu,3.410.140.296.294,2.268.911.021.752,3410140296294.0,2268911021752.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng đất,Trong đó: > Doanh thu chuyển nhượng đất,Doanh thu chuyển nhượng đất,3.374.904.133.792,407.213.263.593,3374904133792.0,407213263593.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,15.580.528.117,68.848.360.907,15580528117.0,68848360907.0
Doanh thu cho thuê bất động sản đầu tư,Trong đó: > Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,10.904.791.138,7.627.640.000,10904791138.0,7627640000.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,8.750.843.247,1.785.221.757.252,8750843247.0,1785221757252.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(10.281.555.066),(121.037.201.884),-10281555066.0,-121037201884.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(10.281.555.066),(120.895.496.884),-10281555066.0,-120895496884.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,-,(141.705.000),,-141705000.0
DOANH THU THUÀN,Trong đó: > DOANH THU THUÀN,DOANH THU THUÀN,3.399.858.741.228,2.147.873.819.868,3399858741228.0,2147873819868.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng đất,Trong đó: > Doanh thu chuyển nhượng đất,Doanh thu chuyển nhượng đất,3.374.904.133.792,407.213.263.595,3374904133792.0,407213263595.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,15.580.528.117,68.848.360.907,15580528117.0,68848360907.0
Doanh thu cho thuê bất động sản đầu tư,Trong đó: > Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,10.904.791.138,7.627.640.000,10904791138.0,7627640000.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,(1.530.711.819),1.664.184.555.366,-1530711819.0,1664184555366.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với bên khác,Trong đó: > Doanh thu với bên khác,Doanh thu với bên khác,3.340.586.217.662,2.084.122.006.833,3340586217662.0,2084122006833.0
Doanh thu với bên liên quan,Trong đó: > Doanh thu với bên liên quan,Doanh thu với bên liên quan,59.272.523.566,63.751.813.035,59272523566.0,63751813035.0
