row_label_raw,row_label_full,Khu nghĩ dưỡng và Khách sạn năm sao Phú Quốc,Số cuối năm > 49.223.541.734,VND Số đầu năm > 53.732.479.734,numeric__Số cuối năm > 49.223.541.734,numeric__VND Số đầu năm > 53.732.479.734
Bệnh viện chấn thương chính hình,Bệnh viện chấn thương chính hình,Bệnh viện chấn thương chính hình,7.976.940.104,7.171.734.009,7976940104.0,7171734009.0
Khác,Khác,Khác,5.926.408.343,6.063.373.915,5926408343.0,6063373915.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,63.126.890.181,66.967.587.658,63126890181.0,66967587658.0
