row_label_raw,row_label_full,col_0,Tăng,Giảm,Phân loại lại,VND Số cuối năm,numeric__Tăng,numeric__Giảm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.191.598.912.000,(100.000.000.000),110.000.000.000,1.201.598.912.000,1191598912000.0,-100000000000.0,110000000000.0,1201598912000.0
Vay ngân hàng (Thuyết minh số 21.1),Vay ngân hàng (Thuyết minh số 21.1),Vay ngân hàng (Thuyết minh số 21.1),99.652.850.000,-,-,99.652.850.000,99652850000.0,,,99652850000.0
Trái phiếu (Thuyết minh số 21.2),Trái phiếu (Thuyết minh số 21.2),Trái phiếu (Thuyết minh số 21.2),1.091.946.062.000,(100.000.000.000),110.000.000.000,1.101.946.062.000,1091946062000.0,-100000000000.0,110000000000.0,1101946062000.0
Dải hạn,Dải hạn,Dải hạn,1.266.371.011.000,(186.070.416.262),(110.000.000.000),970.300.594.738,1266371011000.0,-186070416262.0,-110000000000.0,970300594738.0
Vay ngân hàng (Thuyết minh số 21.1),Vay ngân hàng (Thuyết minh số 21.1),Vay ngân hàng (Thuyết minh số 21.1),200.000.000.000,(184.572.416.262),-,15.427.583.738,200000000000.0,-184572416262.0,,15427583738.0
Trái phiếu (Thuyết minh số 21.2),Trái phiếu (Thuyết minh số 21.2),Trái phiếu (Thuyết minh số 21.2),542.198.011.000,-,(110.000.000.000),432.198.011.000,542198011000.0,,-110000000000.0,432198011000.0
Vay bên khác (Thuyết minh số 21.3),Vay bên khác (Thuyết minh số 21.3),Vay bên khác (Thuyết minh số 21.3),524.173.000.000,(1.498.000.000),-,522.675.000.000,524173000000.0,-1498000000.0,,522675000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.457.969.923.000,(286.070.416.262),-,2.171.899.506.738,2457969923000.0,-286070416262.0,,2171899506738.0
