row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,65.130.904.485,230.730.327.129,(152.063.409.047),143.797.822.567,65130904485.0,230730327129.0,-152063409047.0,143797822567.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,557.380.223,23.812.801.074,(22.906.715.229),1.463.466.068,557380223.0,23812801074.0,-22906715229.0,1463466068.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,40.393.746.638,217.301.131.405,(224.560.385.420),33.134.492.623,40393746638.0,217301131405.0,-224560385420.0,33134492623.0
Phí sử dụng đất,Phải nộp > Phí sử dụng đất,Phí sử dụng đất,-,799.098.354.146,(799.098.354.146),,,799098354146.0,-799098354146.0,
Khác,Phải nộp > Khác,Khác,-,1.794.346.932,(1.794.346.932),-,,1794346932.0,-1794346932.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,106.082.031.346,1.272.736.960.686,(1.200.423.210.774),178.395.781.258,106082031346.0,1272736960686.0,-1200423210774.0,178395781258.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,87.156.819.319,(87.156.819.319),-,,87156819319.0,-87156819319.0,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,15.563.466.886,(12.920.702.275),2.642.764.611,,15563466886.0,-12920702275.0,2642764611.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,-,102.720.286.205,(100.077.521.594),2.642.764.611,,102720286205.0,-100077521594.0,2642764611.0
