row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mại Cổ phầnCông Thương Việt Nam - Chi nhánh Quảng Ngãi > Ngân hàng Thương mại Cổ phầnĐầu tư và Phát triển Việt Nam - Chi nhánh Nhà Bè,Số cuối nămVND > 15.427.583.738 > 99.652.850.000,Kỳ hạn trả gốc > Ngày 4 tháng 1năm 2021 > Ngày 28 tháng5 năm 2020,"Mục đích > Tài trợ dự ánBầu Cả - Quảng Ngãi > Tài trợ dự ánNhơn Hội – Bình Định,Phân khu 4","Lãi suất% năm > Lãi suất huy động tiết kiệm 12 tháng trả lãi sau + chi phí huy động vốn tăng thêm + 4,5 > 11",Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với đất thuộc dự án BầuCả - Quảng Ngãi > Quyền sử dụng đất và tài sản gắn liền với đất thuộc Phân khu4 - Dự án Nhơn Hội - Bình Định,numeric__Số cuối nămVND > 15.427.583.738 > 99.652.850.000,numeric__Kỳ hạn trả gốc > Ngày 4 tháng 1năm 2021 > Ngày 28 tháng5 năm 2020,"numeric__Mục đích > Tài trợ dự ánBầu Cả - Quảng Ngãi > Tài trợ dự ánNhơn Hội – Bình Định,Phân khu 4","numeric__Lãi suất% năm > Lãi suất huy động tiết kiệm 12 tháng trả lãi sau + chi phí huy động vốn tăng thêm + 4,5 > 11",numeric__Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với đất thuộc dự án BầuCả - Quảng Ngãi > Quyền sử dụng đất và tài sản gắn liền với đất thuộc Phân khu4 - Dự án Nhơn Hội - Bình Định
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,115.080.433.738,,,,,115080433738.0,,,,
Trong đó:Ngắn hạnDải hạn,Trong đó:Ngắn hạnDải hạn,Trong đó:Ngắn hạnDải hạn,99.652.850.00015.427.583.738,,,,,9.965285000015428e+21,,,,
