row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
AKYN,AKYN,AKYN,Bên liên quan của thành viên HĐQT,Chuyển nhượng cổ phần Bán cần hộ,45.000.000.000 18.832.357.744,55.000.000.000 22.089.172.092,,,,
Bà Đoàn Thị Tráng,AKYN > Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bên liên quan của thành viên HĐQT,Chuyển nhượng bất động sản,15.000.000.000,32.648.000.000,,,15000000000.0,32648000000.0
Ông Bùi Quang Anh Vũ,AKYN > Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Thành viên HĐQT,Chuyển nhượng bất động sản,10.306.377.900,-,,,10306377900.0,
Bà Trần Thị Hường,AKYN > Bà Trần Thị Hường,Bà Trần Thị Hường,Thành viên HĐQT,Chuyển nhượng bất động sản,10.276.238.400,-,,,10276238400.0,
ĐK Phú Quốc,AKYN > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Cung cấp dịch vụ,2.593.922.985,180.925.500,,,2593922985.0,180925500.0
Trường Phát Lộc,AKYN > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan của thành viên HĐQT,Cho thuê văn phòng,-,1.011.571.577,,,,1011571577.0
,,,,,102.008.897.029,110.929.669.169,,,102008897029.0,110929669169.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,,,,
AKYN,Phải thu dài hạn của khách hàng > AKYN,AKYN,Bên liên quan của thành viên HĐQT,Chuyển nhượng cổ phần,100.000.000.000,117.000.000.000,,,100000000000.0,117000000000.0
