row_label_raw,row_label_full,Số đầu năm > Khấu hao trong năm,-,(3.266.136.512) > (1.547.211.848),(3.266.136.512) > (1.547.211.848)_1,numeric__-,numeric__(3.266.136.512) > (1.547.211.848),numeric__(3.266.136.512) > (1.547.211.848)_1
Kết chuyển vào hàng tồn kho,Kết chuyển vào hàng tồn kho,Kết chuyển vào hàng tồn kho,-,76.981.320,76.981.320,,76981320.0,76981320.0
Số cuối năm,Số cuối năm,Số cuối năm,-,(4.736.367.040),(4.736.367.040),,-4736367040.0,-4736367040.0
