row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.219.909.230.000,11.680.300.000,102.713.584.076,494.784.000.384,2.829.087.114.460,2219909230000.0,11680300000.0,102713584076.0,494784000384.0,2829087114460.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,642.299.684.893,642.299.684.893,,,,642299684893.0,642299684893.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,22.000.000.000,(22.000.000.000),-,,,22000000000.0,-22000000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(22.000.000.000),(22.000.000.000),,,,-22000000000.0,-22000000000.0
Chi cổ tức bằng cổ phiếu,Năm trước > Chi cổ tức bằng cổ phiếu,Chi cổ tức bằng cổ phiếu,443.980.840.000,-,-,(443.980.840.000),-,443980840000.0,,,-443980840000.0,
Thù lao HĐQT,Năm trước > Thù lao HĐQT,Thù lao HĐQT,-,-,-,(2.048.000.000),(2.048.000.000),,,,-2048000000.0,-2048000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.663.890.070.000,11.680.300.000,124.713.584.076,647.054.845.277,3.447.338.799.353,2663890070000.0,11680300000.0,124713584076.0,647054845277.0,3447338799353.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.663.890.070.000,11.680.300.000,124.713.584.076,647.054.845.277,3.447.338.799.353,2663890070000.0,11680300000.0,124713584076.0,647054845277.0,3447338799353.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,872.606.119.833,872.606.119.833,,,,872606119833.0,872606119833.0
Phân phối lợi nhuận,Năm nay > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,12.800.000.000,(12.800.000.000),-,,,12800000000.0,-12800000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(12.800.000.000),(12.800.000.000),,,,-12800000000.0,-12800000000.0
Chi cổ tức bằng cổ phiếu (*),Năm nay > Chi cổ tức bằng cổ phiếu (*),Chi cổ tức bằng cổ phiếu (*),612.689.650.000,-,-,(612.689.650.000),-,612689650000.0,,,-612689650000.0,
Thù lao HĐQT,Năm nay > Thù lao HĐQT,Thù lao HĐQT,-,-,-,(10.411.086.219),(10.411.086.219),,,,-10411086219.0,-10411086219.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.276.579.720.000,11.680.300.000,137.513.584.076,870.960.228.891,4.296.733.832.967,3276579720000.0,11680300000.0,137513584076.0,870960228891.0,4296733832967.0
