row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Trường Phát Lộc,Phải thu ngắn hạn khác > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan của thành viên HĐQT,Lãi HĐHTĐT,75.000.000.000,80.000.000.000,,,75000000000.0,80000000000.0
Bà Đoàn Thị Tráng,Phải thu ngắn hạn khác > Bà Đoàn Thị Tráng,Bà Đoàn Thị Tráng,Bên liên quan của thành viên HĐQT,Chi hộ,15.090.462.988,-,,,15090462988.0,
Phú Hưng,Phải thu ngắn hạn khác > Phú Hưng,Phú Hưng,Công ty con,Tạm ứng,-,9.287.082.235,,,,9287082235.0
Coinin,Phải thu ngắn hạn khác > Coinin,Coinin,Công ty con,Tạm ứng,-,2.242.605.016,,,,2242605016.0
Công trình PĐP,Phải thu ngắn hạn khác > Công trình PĐP,Công trình PĐP,Công ty liên kết,Tạm ứng,-,4.609.000,,,,4609000.0
,,,,,90.090.462.988,91.534.296.251,,,90090462988.0,91534296251.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Sài Gòn - KL,Phải thu dài hạn khác > Sài Gòn - KL,Sài Gòn - KL,Công ty con,Tạm ứng,259.690.000.000,-,,,259690000000.0,
Trường Phát Lộc,Phải thu dài hạn khác > Trường Phát Lộc,Trường Phát Lộc,Bên liên quan của thành viên HĐQT,Góp vốn HĐHTĐT,126.400.000.000,126.400.000.000,,,126400000000.0,126400000000.0
AKYN,Phải thu dài hạn khác > AKYN,AKYN,Bên liên quan của thành viên HĐQT,Góp vốn HĐHTĐT,100.939.751.900,100.939.751.900,,,100939751900.0,100939751900.0
ĐK Phú Quốc,Phải thu dài hạn khác > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng,39.443.900.000,38.627.211.000,,,39443900000.0,38627211000.0
Coinin,Phải thu dài hạn khác > Coinin,Coinin,Công ty con,Tạm ứng,19.676.748.812,-,,,19676748812.0,
,,,,,546.150.400.712,265.966.962.900,,,546150400712.0,265966962900.0
