row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,7.306.972.991,77.762.882.281,85.069.855.272,7306972991.0,77762882281.0,85069855272.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,6.475.163.022,(6.475.163.022),-,6475163022.0,-6475163022.0,
Kết chuyển vào hàng tồn kho,Nguyên giá > Kết chuyển vào hàng tồn kho,Kết chuyển vào hàng tồn kho,(6.475.163.022),(2.930.421.978),(9.405.585.000),-6475163022.0,-2930421978.0,-9405585000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,7.306.972.991,68.357.297.281,75.664.270.272,7306972991.0,68357297281.0,75664270272.0
