row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.339.587.842,12.868.319.538,16.207.907.380,3339587842.0,12868319538.0,16207907380.0
Mua mới,Nguyên giá > Mua mới,Mua mới,903.066.700,10.599.924.547,11.502.991.247,903066700.0,10599924547.0,11502991247.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,4.242.654.542,23.468.244.085,27.710.898.627,4242654542.0,23468244085.0,27710898627.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,2.290.743.387,3.066.637.720,5.357.381.107,2290743387.0,3066637720.0,5357381107.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(2.651.165.204),(4.885.787.956),(7.536.953.160),-2651165204.0,-4885787956.0,-7536953160.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(651.873.299),(2.993.953.517),(3.645.826.816),-651873299.0,-2993953517.0,-3645826816.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(3.303.038.503),(7.879.741.473),(11.182.779.976),-3303038503.0,-7879741473.0,-11182779976.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,688.422.638,7.982.531.582,8.670.954.220,688422638.0,7982531582.0,8670954220.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,939.616.039,15.588.502.612,16.528.118.651,939616039.0,15588502612.0,16528118651.0
