row_label_raw,row_label_full,Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > ▪ Ngân hàng Xuất nhập khẩu Trung Quốc > ▪ Ngân hàng hợp tác Quốc tế Nhật Bản,Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > (i) > (ii) > (iii) > (iv),Loại tiền > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > USD > JPY,Nămđáo hạn > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 2021 > 2024 > 2021 > 2022,"Lãi suấtnăm > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 5,78% > 6,07% > 3,91% > 4,41%",Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > - > 1.895.354.312.223 > - > 61.987.593.233,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 360.121.111.666 > 2.687.648.800.007 > 73.416.023.506 > 208.273.527.911,numeric__Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > (i) > (ii) > (iii) > (iv),numeric__Loại tiền > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > USD > JPY,numeric__Nămđáo hạn > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 2021 > 2024 > 2021 > 2022,"numeric__Lãi suấtnăm > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 5,78% > 6,07% > 3,91% > 4,41%",numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2021VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > - > 1.895.354.312.223 > - > 61.987.593.233,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2021VND > Vay lại từ Tập đoàn Điện lực Việt Nam - Công ty mẹ cấp cao nhất > 360.121.111.666 > 2.687.648.800.007 > 73.416.023.506 > 208.273.527.911
Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,Vay từ các tổ chức tín dụng,,,,,,
▪ Ngân hàng Thương mại Cổ phần Công Thương Việt Nam – Chi nhánh Hoàn Kiểm,Vay từ các tổ chức tín dụng > ▪ Ngân hàng Thương mại Cổ phần Công Thương Việt Nam – Chi nhánh Hoàn Kiểm,▪ Ngân hàng Thương mại Cổ phần Công Thương Việt Nam – Chi nhánh Hoàn Kiểm,(v),VND,2022,"Lãi suất huy động tiết kiệm VND 12 tháng trả lãi sau + 2,8%",-,100.000.000.000,,,2022.0,,,100000000000.0
,,,,,,,1.957.341.905.456,3.429.459.463.090,,,,,1957341905456.0,3429459463090.0
