row_label_raw,row_label_full,col_0,Công cụvà dụng cụVND,"Chi phí đèn bù,giải phóngmặt bằngVND",TổngVND,numeric__Công cụvà dụng cụVND,"numeric__Chi phí đèn bù,giải phóngmặt bằngVND",numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,809.793.550,133.541.884.773,134.351.678.323,809793550.0,133541884773.0,134351678323.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,75.492.142,75.492.142,,75492142.0,75492142.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(677.641.044),(7.719.831.186),(8.397.472.230),-677641044.0,-7719831186.0,-8397472230.0
Phân loại lại,Phân loại lại,Phân loại lại,(132.152.506),132.152.506,-,-132152506.0,132152506.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,126.029.698.235,126.029.698.235,,126029698235.0,126029698235.0
