row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Doanh thu,Doanh thu,Doanh thu,4.143.907,3.839.530,46.190.356,54.173.793,(28.541.499),25.632.294,4143907.0,3839530.0,46190356.0,54173793.0,-28541499.0,25632294.0
Doanh thu lãi,Doanh thu lãi,Doanh thu lãi,4.071.571,3.704.804,43.121.502,50.897.877,(28.541.499),22.356.378,4071571.0,3704804.0,43121502.0,50897877.0,-28541499.0,22356378.0
Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,40.481,121.917,567.688,730.086,-,730.086,40481.0,121917.0,567688.0,730086.0,,730086.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,31.855,12.809,2.501.166,2.545.830,-,2.545.830,31855.0,12809.0,2501166.0,2545830.0,,2545830.0
Chi phí,Chi phí,Chi phí,(3.716.214),(3.304.292),(39.436.427),(46.456.933),28.541.499,(17.915.434),-3716214.0,-3304292.0,-39436427.0,-46456933.0,28541499.0,-17915434.0
Chi phí lãi,Chi phí lãi,Chi phí lãi,(3.234.158),(2.721.243),(36.325.854),(42.281.255),28.541.499,(13.739.756),-3234158.0,-2721243.0,-36325854.0,-42281255.0,28541499.0,-13739756.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,(27.355),(26.454),(172.566),(226.375),-,(226.375),-27355.0,-26454.0,-172566.0,-226375.0,,-226375.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(454.701),(556.595),(2.938.007),(3.949.303),-,(3.949.303),-454701.0,-556595.0,-2938007.0,-3949303.0,,-3949303.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,427.693,535.238,6.753.929,7.716.860,-,7.716.860,427693.0,535238.0,6753929.0,7716860.0,,7716860.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(47.368),(20.147),(2.395.811),(2.463.326),-,(2.463.326),-47368.0,-20147.0,-2395811.0,-2463326.0,,-2463326.0
Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,380.325,515.091,4.358.118,5.253.534,-,5.253.534,380325.0,515091.0,4358118.0,5253534.0,,5253534.0
