row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tổng công Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tổng công Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,205.587,356.378,193.642,755.607,205587.0,356378.0,193642.0,755607.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,810,810,,,810.0,810.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,10.485,10.485,,,10485.0,10485.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,205.587,356.378,204.937,766.902,205587.0,356378.0,204937.0,766902.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.920,-,159.170,176.090,16920.0,,159170.0,176090.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,6.367,-,8.672,15.039,6367.0,,8672.0,15039.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,23.287,-,167.842,191.129,23287.0,,167842.0,191129.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,188.667,356.378,34.472,579.517,188667.0,356378.0,34472.0,579517.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,182.300,356.378,37.095,575.773,182300.0,356378.0,37095.0,575773.0
