row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Tiền gửi không kỳ hạn (“KKH”),Tiền gửi không kỳ hạn (“KKH”),Tiền gửi không kỳ hạn (“KKH”),10.546.863,9.760.047,10546863.0,9760047.0
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,10.040.432,9.509.604,10040432.0,9509604.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,427.573,211.925,427573.0,211925.0
Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,78.158,37.851,78158.0,37851.0
Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,700,667,700.0,667.0
Tiền gửi có kỳ hạn (“CKH”),Tiền gửi có kỳ hạn (“CKH”),Tiền gửi có kỳ hạn (“CKH”),166.959.630,147.840.718,166959630.0,147840718.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,37.667.205,30.157.878,37667205.0,30157878.0
Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,454.908,209.912,454908.0,209912.0
Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,128.190.720,116.904.420,128190720.0,116904420.0
Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,646.797,568.508,646797.0,568508.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,65.413,497.745,65413.0,497745.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,65.388,497.722,65388.0,497722.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,25,23,25.0,23.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,238.787,235.493,238787.0,235493.0
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,238.787,235.493,238787.0,235493.0
,,,177.810.693,158.334.003,177810693.0,158334003.0
