row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.454.872,498.489,284.479,45.044,24.297,2.307.181,1454872.0,498489.0,284479.0,45044.0,24297.0,2307181.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.964,38.275,5.786,1.981,321,57.327,10964.0,38275.0,5786.0,1981.0,321.0,57327.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,188.896,51.297,95.111,1.619,540,337.463,188896.0,51297.0,95111.0,1619.0,540.0,337463.0
Chuyển từ tài sản cố địnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,32.200,-,-,32.200,,,32200.0,,,32200.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.775),(12.527),(1.019),(661),(15.982),,-1775.0,-12527.0,-1019.0,-661.0,-15982.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.654.732,586.286,405.049,47.625,24.497,2.718.189,1654732.0,586286.0,405049.0,47625.0,24497.0,2718189.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,227.807,307.339,190.588,36.007,16.594,778.335,227807.0,307339.0,190588.0,36007.0,16594.0,778335.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,79.591,63.587,38.272,2.968,2.965,187.383,79591.0,63587.0,38272.0,2968.0,2965.0,187383.0
Chuyển từ tài sản cố địnhthuê tài chính,Giá trị khấu hao luỹ kế > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,28.311,-,-,28.311,,,28311.0,,,28311.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.775),(12.527),(1.019),(661),(15.982),,-1775.0,-12527.0,-1019.0,-661.0,-15982.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,307.398,369.151,244.644,37.956,18.898,978.047,307398.0,369151.0,244644.0,37956.0,18898.0,978047.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.227.065,191.150,93.891,9.037,7.703,1.528.846,1227065.0,191150.0,93891.0,9037.0,7703.0,1528846.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.347.334,217.135,160.405,9.669,5.599,1.740.142,1347334.0,217135.0,160405.0,9669.0,5599.0,1740142.0
