row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.231.315,-,-,-,-,-,-,1.231.315,,1231315.0,,,,,,,1231315.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,13.719.544,-,-,-,-,-,-,13.719.544,,13719544.0,,,,,,,13719544.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,289.885,125.697.763,28.580.100,635.394,-,-,-,155.203.142,,289885.0,125697763.0,28580100.0,635394.0,,,,155203142.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,21.781,-,-,-,-,-,-,21.781,,21781.0,,,,,,,21781.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,6.847.918,-,80.080.011,71.849.398,25.126.717,3.434.196,10.171.353,98.000,197.607.593,6847918.0,,80080011.0,71849398.0,25126717.0,3434196.0,10171353.0,98000.0,197607593.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,655.482,-,-,-,-,-,-,-,655.482,655482.0,,,,,,,,655482.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,127.765,8.479.197,4.352.788,7.669.326,19.212.855,230.327,-,40.072.258,,127765.0,8479197.0,4352788.0,7669326.0,19212855.0,230327.0,,40072258.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,224.011,-,-,-,-,-,-,224.011,,224011.0,,,,,,,224011.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.369.533,-,-,-,-,-,-,2.369.533,,2369533.0,,,,,,,2369533.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,9.667.390,-,-,-,-,-,-,9.667.390,,9667390.0,,,,,,,9667390.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.503.400,27.651.224,214.256.971,104.782.286,33.431.437,22.647.051,10.401.680,98.000,420.772.049,7503400.0,27651224.0,214256971.0,104782286.0,33431437.0,22647051.0,10401680.0,98000.0,420772049.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,18.028.593,-,-,-,-,-,18.028.593,,,18028593.0,,,,,,18028593.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,135.841.840,19.356.861,519.821,1.432.971,2.598,-,157.154.091,,,135841840.0,19356861.0,519821.0,1432971.0,2598.0,,157154091.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,51.623.182,41.401.727,50.060.132,28.374.349,6.351.303,-,177.810.693,,,51623182.0,41401727.0,50060132.0,28374349.0,6351303.0,,177810693.0
