row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,410.419.754,285.095,410.704.849,410419754.0,285095.0,410704849.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,154.918.047,285.095,155.203.142,154918047.0,285095.0,155203142.0
Các công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng),16.942.363,-,16.942.363,16942363.0,,16942363.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,197.607.593,-,197.607.593,197607593.0,,197607593.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,655.482,-,655.482,655482.0,,655482.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,40.072.258,-,40.072.258,40072258.0,,40072258.0
"Gớp vốn, đầu tư dài hạn - gộp","Gớp vốn, đầu tư dài hạn - gộp","Gớp vốn, đầu tư dài hạn - gộp",224.011,-,224.011,224011.0,,224011.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,367.905.064,2.780.168,370.685.232,367905064.0,2780168.0,370685232.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,156.786.031,368.060,157.154.091,156786031.0,368060.0,157154091.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,177.810.693,-,177.810.693,177810693.0,,177810693.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",250,2.412.108,2.412.358,250.0,2412108.0,2412358.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,33.308.090,-,33.308.090,33308090.0,,33308090.0
Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2025,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2025,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2025,43.341.733,-,43.341.733,43341733.0,,43341733.0
