row_label_raw,row_label_full,col_0,Quỹ dự phòng tài chính Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Quỹ khác thuộc vốn chủ sở hữu Triệu đồng,Tổng cộng Triệu đồng,numeric__Quỹ dự phòng tài chính Triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu đồng,numeric__Tổng cộng Triệu đồng
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,1.317.415,839.795,17.182,2.174.392,1317415.0,839795.0,17182.0,2174392.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,376.401,418.223,7.214,801.838,376401.0,418223.0,7214.0,801838.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,(398.039),-,(398.039),,-398039.0,,-398039.0
Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,1.693.816,859.979,24.396,2.578.191,1693816.0,859979.0,24396.0,2578191.0
