row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025%/năm,Ngày 31 tháng 12năm 2024%/năm,numeric__Ngày 31 tháng 12năm 2025%/năm,numeric__Ngày 31 tháng 12năm 2024%/năm
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,"5,60 - 9,50","3,80 - 5,50",,
Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,"3,70 - 4,35","4,45 - 5,10",,
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,,
,,,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,
Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,,
Bằng VND,Vay các tổ chức tín dụng khác > Bằng VND,Bằng VND,92.848,962.260,92848.0,962260.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Vay cầm có, thế chấp","Trong đó: > Vay cầm có, thế chấp","Vay cầm có, thế chấp",-,917.575,,917575.0
Thuê tài chính,Trong đó: > Thuê tài chính,Thuê tài chính,26.848,44.685,26848.0,44685.0
Bằng ngoại tệ,Trong đó: > Bằng ngoại tệ,Bằng ngoại tệ,2.642.180,518.761,2642180.0,518761.0
,,,2.735.028,1.481.021,2735028.0,1481021.0
