row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024%/năm,Ngày 31 tháng 12năm 2024%/năm_1,numeric__Ngày 31 tháng 12năm 2024%/năm,numeric__Ngày 31 tháng 12năm 2024%/năm_1
Bằng VND,Bằng VND,Bằng VND,"7,95 - 10,55","10,00 - 10,55",,
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,"0,75 - 5,27","0,75 - 5,02",,
