row_label_raw,row_label_full,col_0,Miền Bắc Triệu đồng,Miền Trung Triệu đồng,Miền Nam Triệu đồng,Tổng bộ phân đã báo cáo Triệu đồng,Loại trừ Triệu đồng,Tổng cộng Triệu đồng,numeric__Miền Bắc Triệu đồng,numeric__Miền Trung Triệu đồng,numeric__Miền Nam Triệu đồng,numeric__Tổng bộ phân đã báo cáo Triệu đồng,numeric__Loại trừ Triệu đồng,numeric__Tổng cộng Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,175.553,295.350,760.412,1.231.315,-,1.231.315,175553.0,295350.0,760412.0,1231315.0,,1231315.0
Tiền gửi tại NHNN Việt Nam,TÀI SẢN > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,326,696,13.718.522,13.719.544,-,13.719.544,326.0,696.0,13718522.0,13719544.0,,13719544.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,80,617,155.202.445,155.203.142,-,155.203.142,80.0,617.0,155202445.0,155203142.0,,155203142.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,21.781,21.781,-,21.781,,,21781.0,21781.0,,21781.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,4.131.393,13.442.433,177.759.208,195.333.034,-,195.333.034,4131393.0,13442433.0,177759208.0,195333034.0,,195333034.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,629.595,-,-,629.595,-,629.595,629595.0,,,629595.0,,629595.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,-,-,40.071.858,40.071.858,,40.071.858,,,40071858.0,40071858.0,,40071858.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,120.805,120.805,-,120.805,,,120805.0,120805.0,,120805.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,103.342,177.766,2.088.425,2.369.533,-,2.369.533,103342.0,177766.0,2088425.0,2369533.0,,2369533.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,191.148,17.915,9.423.652,9.632.715,-,9.632.715,191148.0,17915.0,9423652.0,9632715.0,,9632715.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,5.231.437,13.934.777,399.167.108,418.333.322,-,418.333.322,5231437.0,13934777.0,399167108.0,418333322.0,,418333322.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,18.028.593,18.028.593,-,18.028.593,,,18028593.0,18028593.0,,18028593.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,25,4.699,157.149.367,157.154.091,-,157.154.091,25.0,4699.0,157149367.0,157154091.0,,157154091.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,47.481.172,30.686.441,99.643.080,177.810.693,-,177.810.693,47481172.0,30686441.0,99643080.0,177810693.0,,177810693.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,2.412.358,2.412.358,-,2.412.358,,,2412358.0,2412358.0,,2412358.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,4.149.385,4.222.700,24.936.005,33.308.090,-,33.308.090,4149385.0,4222700.0,24936005.0,33308090.0,,33308090.0
Các khoản Nợ khác,NỘ PHẢI TRẢ > Các khoản Nợ khác,Các khoản Nợ khác,1.205.881,633.361,4.349.488,6.188.730,-,6.188.730,1205881.0,633361.0,4349488.0,6188730.0,,6188730.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,52.836.463,35.547.201,306.518.891,394.902.555,-,394.902.555,52836463.0,35547201.0,306518891.0,394902555.0,,394902555.0
