row_label_raw,row_label_full,col_0,Phương tiện vận tảiTriệu đồng,numeric__Phương tiện vận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,159.317,159317.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.715,1715.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(32.200),-32200.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,128.832,128832.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,79.572,79572.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,23.953,23953.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao luỹ kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(28.311),-28311.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,75.214,75214.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,79.745,79745.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,53.618,53618.0
