row_label_raw,row_label_full,col_0,Năm 2017Cổ phiếu,Năm 2016Cổ phiếu,numeric__Năm 2017Cổ phiếu,numeric__Năm 2016Cổ phiếu
Số lượng cổ phiếu đã đăng ký phát hành,Số lượng cổ phiếu đã đăng ký phát hành,Số lượng cổ phiếu đã đăng ký phát hành,154.403.991,102.935.994,154403991.0,102935994.0
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,154.403.991,102.935.994,154403991.0,102935994.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,154.403.991,102.935.994,154403991.0,102935994.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đã mua lại,Số lượng cổ phiếu đã mua lại,Số lượng cổ phiếu đã mua lại,-,-,,
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,-,-,,
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,154.403.991,102.935.994,154403991.0,102935994.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,154.403.991,102.935.994,154403991.0,102935994.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng,,
