row_label_raw,row_label_full,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo),N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_1,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_2,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_3,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_4,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_5,Mẫu số B 09 - DN/HN,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_1,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_2,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_3,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_4,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > ( thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_5,numeric__Mẫu số B 09 - DN/HN
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,8.765.471.592,,,,,,8765471592.0
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,615.044.761.575,270.808.171.411,95.960.369.387,5.581.951.329,(231.108.863.124),406.751.382.793,615044761575.0,270808171411.0,95960369387.0,5581951329.0,-231108863124.0,406751382793.0
Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016,,,,,,
,,,Hoạt động kinh doanh bắt động sản VND,Hoạt động cung cấp dịch vụ VND,Hoạt động xây lắp VND,Hoạt động bán hàng hóa VND,Loại trừ VND,Tổng cộng VND,,,,,,
Doanh thu thuần,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016 > Doanh thu thuần,Doanh thu thuần,1.125.190.918.867,251.848.193.250,370.152.472.455,60.301.874.387,(397.059.189.311),1.410.434.269.648,1125190918867.0,251848193250.0,370152472455.0,60301874387.0,-397059189311.0,1410434269648.0
Doanh thu hoạt động tài chính,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,-,-,-,-,-,12.324.745.559,,,,,,12324745559.0
Chi phí sản xuất kinh doanh,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016 > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,730.701.342.242,166.123.801.693,332.813.569.628,58.868.430.977,(377.421.724.623),1.121.015.141.669,730701342242.0,166123801693.0,332813569628.0,58868430977.0,-377421724623.0,1121015141669.0
- Giá vốn hàng bán,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016 > - Giá vốn hàng bán,- Giá vốn hàng bán,730.701.342.242,166.123.801.693,332.813.569.628,58.868.430.977,(377.421.724.623),911.085.419.917,730701342242.0,166123801693.0,332813569628.0,58868430977.0,-377421724623.0,911085419917.0
- Chi phí tài chính,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016 > - Chi phí tài chính,- Chi phí tài chính,,,,,,73.844.014.411,,,,,,73844014411.0
- Chi phí bán hàng,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2016 > - Chi phí bán hàng,- Chi phí bán hàng,,,,,,34.242.182.310,,,,,,34242182310.0
