row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Khoản mục,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần Đầu tư và Phát triển Phú Quốc,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty TNHH C.E.O Quốc tế,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần đầu tư MBC - CEO,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần Du lịch C.E.O,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,Mẫu số B 09 - DN/HN > Đơn vị tính: VND > Cộng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần Đầu tư và Phát triển Phú Quốc,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty TNHH C.E.O Quốc tế,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần đầu tư MBC - CEO,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần Du lịch C.E.O,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 16. Lợi thế thương mại > Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,numeric__Mẫu số B 09 - DN/HN > Đơn vị tính: VND > Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư ngày 01/01/2017,Nguyên giá > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,235.515.577.241,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,235515577241.0
Tăng do mua Công ty con,Tăng do mua Công ty con,Tăng do mua Công ty con,-,-,-,-,-,-,,,,,,
Số dư ngày 31/12/2017,Tăng do mua Công ty con > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,235.515.577.241,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,235515577241.0
Giá trị hao phân bổ lũy kế,Giá trị hao phân bổ lũy kế,Giá trị hao phân bổ lũy kế,,,,,,,,,,,,
Số dư ngày 01/01/2017,Giá trị hao phân bổ lũy kế > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,45.044.142.858,1.959.990.000,5.473.414.413,44.622.197,2.130.640.651,54.652.810.119,45044142858.0,1959990000.0,5473414413.0,44622197.0,2130640651.0,54652810119.0
Phân bổ trong năm,Giá trị hao phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,11.246.214.288,391.998.000,2.736.707.206,-,12.783.843.901,27.158.763.395,11246214288.0,391998000.0,2736707206.0,,12783843901.0,27158763395.0
Số dư ngày 31/12/2017,Giá trị hao phân bổ lũy kế > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,56.290.357.146,2.351.988.000,8.210.121.619,44.622.197,14.914.484.552,81.811.573.514,56290357146.0,2351988000.0,8210121619.0,44622197.0,14914484552.0,81811573514.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Tại ngày 01/01/2017,Giá trị còn lại > Tại ngày 01/01/2017,Tại ngày 01/01/2017,44.984.857.142,1.959.990.000,8.210.121.619,-,125.707.798.361,180.862.767.122,44984857142.0,1959990000.0,8210121619.0,,125707798361.0,180862767122.0
Tại ngày 31/12/2017,Giá trị còn lại > Tại ngày 31/12/2017,Tại ngày 31/12/2017,33.738.642.854,1.567.992.000,5.473.414.413,-,112.923.954.460,153.704.003.727,33738642854.0,1567992000.0,5473414413.0,,112923954460.0,153704003727.0
