row_label_raw,row_label_full,"BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Khoản mục","BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Quyền sử dụng đất","BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Phần mềm máy vi tính","BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Nhân hiệu, tên thương mại","BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Bản quyền, bằng sáng chế",Mẫu số B 09 - DN/HN > Đơn vị tính: VND > Cộng,"numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Quyền sử dụng đất","numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Phần mềm máy vi tính","numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Nhân hiệu, tên thương mại","numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo) > 12. Tăng, giảm tài sản cố định vô hình > Bản quyền, bằng sáng chế",numeric__Mẫu số B 09 - DN/HN > Đơn vị tính: VND > Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2017,Nguyên giá > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,62.518.508.720,436.700.472,267.227.596,8.551.700.193,71.774.136.981,62518508720.0,436700472.0,267227596.0,8551700193.0,71774136981.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.417.058.008,-,-,1.417.058.008,,1417058008.0,,,1417058008.0
Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,-,-,-,-,-,,,,,
Giảm khác,Chuyển sang bắt động sản đầu tư > Giảm khác,Giảm khác,(39.315.025.559),-,-,-,(39.315.025.559),-39315025559.0,,,,-39315025559.0
Số dư ngày 31/12/2017,Chuyển sang bắt động sản đầu tư > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,23.203.483.161,1.853.758.480,267.227.596,8.551.700.193,33.876.169.430,23203483161.0,1853758480.0,267227596.0,8551700193.0,33876169430.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2017,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,1.289.536.616,296.827.876,267.227.596,1.090.786.586,2.944.378.674,1289536616.0,296827876.0,267227596.0,1090786586.0,2944378674.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,1.348.655.773,138.004.654,-,1.141.694.294,2.628.354.721,1348655773.0,138004654.0,,1141694294.0,2628354721.0
Chuyển sang từ TSCĐ thuê tài chính,Chuyển sang từ TSCĐ thuê tài chính,Chuyển sang từ TSCĐ thuê tài chính,,,,,-,,,,,
Giảm khác,Chuyển sang từ TSCĐ thuê tài chính > Giảm khác,Giảm khác,(1.659.038.313),-,-,-,(1.659.038.313),-1659038313.0,,,,-1659038313.0
Số dư ngày 31/12/2017,Chuyển sang từ TSCĐ thuê tài chính > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,979.154.076,434.832.530,267.227.596,2.232.480.880,3.913.695.082,979154076.0,434832530.0,267227596.0,2232480880.0,3913695082.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Tại ngày 01/01/2017,Giá trị còn lại > Tại ngày 01/01/2017,Tại ngày 01/01/2017,61.228.972.104,139.872.596,-,7.460.913.607,68.829.758.307,61228972104.0,139872596.0,,7460913607.0,68829758307.0
Tại ngày 31/12/2017,Giá trị còn lại > Tại ngày 31/12/2017,Tại ngày 31/12/2017,22.224.329.085,1.418.925.950,-,6.319.219.313,29.962.474.348,22224329085.0,1418925950.0,,6319219313.0,29962474348.0
