row_label_raw,row_label_full,col_0,TRANG,TRANG_1,numeric__TRANG,numeric__TRANG_1
BÁO CÁO CỦA BAN TỔNG GIẢM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIẢM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIẢM ĐỐC,02,- 03,2.0,-3.0
BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,BÁO CÁO KIỂM TOÁN ĐỌC LẬP,04,- 05,4.0,-5.0
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,06,- 07,6.0,-7.0
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,08,08,8.0,8.0
BÁO CÁO LUU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LUU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LUU CHUYÊN TIỀN TỆ HỢP NHẤT,09,09,9.0,9.0
BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,10,- 55,10.0,-55.0
