row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2017VND,Giá trị ghi sổ > 01/01/2017VND,numeric__Giá trị ghi sổ > 31/12/2017VND,numeric__Giá trị ghi sổ > 01/01/2017VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,444.097.062.786,121.150.408.600,444097062786.0,121150408600.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.136.978.720.050,971.764.332.331,1136978720050.0,971764332331.0
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,361.500.000.000,2.110.000.000,361500000000.0,2110000000.0
Cộng,Tài sản tài chính > Cộng,Cộng,1.942.575.782.836,1.095.024.740.931,1942575782836.0,1095024740931.0
Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,,
Các khoản vay,Cộng nợ tài chính > Các khoản vay,Các khoản vay,1.431.344.985.547,1.246.604.018.483,1431344985547.0,1246604018483.0
Phải trả người bán và phải trả khác,Cộng nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,305.339.296.899,239.650.629.049,305339296899.0,239650629049.0
Chi phí phải trả,Cộng nợ tài chính > Chi phí phải trả,Chi phí phải trả,208.661.336.883,103.364.936.374,208661336883.0,103364936374.0
Cộng,Cộng nợ tài chính > Cộng,Cộng,1.945.345.619.329,1.589.619.583.906,1945345619329.0,1589619583906.0
