row_label_raw,row_label_full,N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo),N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_1,N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_2,N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_3,N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_4,N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_5,Mẫu số B 09 - DN/HN > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo),numeric__N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_1,numeric__N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_2,numeric__N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_3,numeric__N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_4,numeric__N THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)_5,numeric__Mẫu số B 09 - DN/HN > thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo)
b) Dài hạn,b) Dài hạn,b) Dài hạn,887.021.964.389,842.639.788.438,190.376.985.336,198.697.569.936,850.960.373.038,850.960.373.038,887021964389.0,842639788438.0,190376985336.0,198697569936.0,850960373038.0,850960373038.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,880.899.613.438,880.899.613.438,228.636.810.336,198.697.569.936,850.960.373.038,850.960.373.038,880899613438.0,880899613438.0,228636810336.0,198697569936.0,850960373038.0,850960373038.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),842.639.788.438,842.639.788.438,190.376.985.336,198.697.569.936,850.960.373.038,850.960.373.038,842639788438.0,842639788438.0,190376985336.0,198697569936.0,850960373038.0,850960373038.0
Ngân hàng TMCP Công thương Việt Nam - CN Thành An (4),Ngân hàng TMCP Công thương Việt Nam - CN Thành An (4),Ngân hàng TMCP Công thương Việt Nam - CN Thành An (4),19.380.605.000,19.380.605.000,19.380.605.000,-,-,-,19380605000.0,19380605000.0,19380605000.0,,,
Vay cá nhân (5),Vay cá nhân (5),Vay cá nhân (5),18.879.220.000,18.879.220.000,18.879.220.000,-,-,-,18879220000.0,18879220000.0,18879220000.0,,,
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,6.122.350.951,6.122.350.951,11.665.000.000,5.542.649.049,-,-,6122350951.0,6122350951.0,11665000000.0,5542649049.0,,
Công ty cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (6),Công ty cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (6),Công ty cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (6),6.122.350.951,6.122.350.951,11.665.000.000,5.542.649.049,-,-,6122350951.0,6122350951.0,11665000000.0,5542649049.0,,
Cộng,Cộng,Cộng,1.431.344.985.547,1.386.962.809.596,1.650.866.784.267,1.510.507.993.154,1.246.604.018.483,1.246.604.018.483,1431344985547.0,1386962809596.0,1650866784267.0,1510507993154.0,1246604018483.0,1246604018483.0
c) Các khoản nợ thuê tài chính,c) Các khoản nợ thuê tài chính,c) Các khoản nợ thuê tài chính,,,,,,,,,,,,
Thời hạn,Thời hạn,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,,,,,,
