row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải, thiết bịtruyền dẫn",Thiết bịdụng cụ quản lý,TSCĐ khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫn",numeric__Thiết bịdụng cụ quản lý,numeric__TSCĐ khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2017,Nguyên giá > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,1.004.542.485.970,31.904.402.255,40.294.856.946,5.460.274.439,1.970.317.005,1.084.172.336.615,1004542485970.0,31904402255.0,40294856946.0,5460274439.0,1970317005.0,1084172336615.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,20.933.327.209,15.538.331.734,2.650.304.416,1.079.794.379,1.407.510.745,41.609.268.483,20933327209.0,15538331734.0,2650304416.0,1079794379.0,1407510745.0,41609268483.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,92.108.268.290,-,-,-,-,92.108.268.290,92108268290.0,,,,,92108268290.0
Tăng do phân loại lại,Nguyên giá > Tăng do phân loại lại,Tăng do phân loại lại,13.241.425.936,-,-,-,-,13.241.425.936,13241425936.0,,,,,13241425936.0
Tăng khác (*),Nguyên giá > Tăng khác (*),Tăng khác (*),39.413.553.488,-,-,693.499.999,-,40.107.053.487,39413553488.0,,,693499999.0,,40107053487.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.395.238.095),-,-,-,(2.395.238.095),,-2395238095.0,,,,-2395238095.0
Giảm khác (*),Nguyên giá > Giảm khác (*),Giảm khác (*),(3.665.992.455),-,-,(98.527.929),(2.904.016.468),(6.668.536.852),-3665992455.0,,,-98527929.0,-2904016468.0,-6668536852.0
Số dư ngày 31/12/2017,Nguyên giá > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,1.166.573.068.438,45.047.495.894,42.945.161.362,7.135.040.888,473.811.282,1.262.174.577.864,1166573068438.0,45047495894.0,42945161362.0,7135040888.0,473811282.0,1262174577864.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2017,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,23.539.570.223,10.510.873.916,8.869.101.170,2.419.883.152,1.843.283.519,47.182.711.980,23539570223.0,10510873916.0,8869101170.0,2419883152.0,1843283519.0,47182711980.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,29.010.065.466,4.962.549.158,5.633.102.997,737.288.546,305.463.246,40.648.469.413,29010065466.0,4962549158.0,5633102997.0,737288546.0,305463246.0,40648469413.0
Tăng khác (*),Giá trị hao mòn luỹ kế > Tăng khác (*),Tăng khác (*),4.413.932.804,-,-,-,-,4.413.932.804,4413932804.0,,,,,4413932804.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.395.238.095),-,-,-,(2.395.238.095),,-2395238095.0,,,,-2395238095.0
Giảm khác (*),Giá trị hao mòn luỹ kế > Giảm khác (*),Giảm khác (*),-,-,-,(470.256.756),-,(470.256.756),,,,-470256756.0,,-470256756.0
Số dư ngày 31/12/2017,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,56.963.568.493,13.078.184.979,14.502.204.167,2.686.914.942,2.148.746.765,89.379.619.346,56963568493.0,13078184979.0,14502204167.0,2686914942.0,2148746765.0,89379619346.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2017,Giá trị còn lại > Tại ngày 01/01/2017,Tại ngày 01/01/2017,981.002.915.747,21.393.528.339,31.425.755.776,3.040.391.287,127.033.486,1.036.989.624.635,981002915747.0,21393528339.0,31425755776.0,3040391287.0,127033486.0,1036989624635.0
Tại ngày 31/12/2017,Giá trị còn lại > Tại ngày 31/12/2017,Tại ngày 31/12/2017,1.109.609.499.946,31.969.310.915,28.442.957.195,4.448.125.946,(1.674.935.483),1.172.794.958.519,1109609499946.0,31969310915.0,28442957195.0,4448125946.0,-1674935483.0,1172794958519.0
