row_label_raw,row_label_full,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo),N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_1,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_2,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_3,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_4,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_5,Mẫu số B 09 - DN/HN,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_1,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_2,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_3,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_4,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_5,numeric__Mẫu số B 09 - DN/HN
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.094.155.056.602,882.875.740.321,880.523.559.392,89.828.748.635,(561.223.770.168),3.386.159.334.783,2094155056602.0,882875740321.0,880523559392.0,89828748635.0,-561223770168.0,3386159334783.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,27.843.216.937,,,,,,27843216937.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,2.094.155.056.602,882.875.740.321,880.523.559.392,89.828.748.635,(561.223.770.168),3.414.002.551.720,2094155056602.0,882875740321.0,880523559392.0,89828748635.0,-561223770168.0,3414002551720.0
Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,Băng cân đối kế toán tại ngày 01/01/2017,,,,,,
,,,Hoạt động kinh doanh bắt động sản VND,Hoạt động cung cấp dịch vụ VND,Hoạt động xây lắp VND,Hoạt động bán hàng hóa VND,Loại trừ VND,Tổng cộng VND,,,,,,
Tài sản bộ phận,Băng cân đối kế toán tại ngày 01/01/2017 > Tài sản bộ phận,Tài sản bộ phận,1.983.329.043.356,946.758.640.755,188.522.743.669,-,(793.630.459.605),2.324.979.968.175,1983329043356.0,946758640755.0,188522743669.0,,-793630459605.0,2324979968175.0
Tài sản không phân bổ,Băng cân đối kế toán tại ngày 01/01/2017 > Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,1.509.569.231.075,,,,,,1509569231075.0
Tổng tài sản hợp nhất,Băng cân đối kế toán tại ngày 01/01/2017 > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,1.983.329.043.356,946.758.640.755,188.522.743.669,-,(793.630.459.605),3.834.549.199.250,1983329043356.0,946758640755.0,188522743669.0,,-793630459605.0,3834549199250.0
Nợ phải trả bộ phận,Băng cân đối kế toán tại ngày 01/01/2017 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.914.489.531.696,57.747.959.185,276.100.837.978,-,(249.554.475.549),1.998.783.853.310,1914489531696.0,57747959185.0,276100837978.0,,-249554475549.0,1998783853310.0
Nợ phải trả không phân bổ,Băng cân đối kế toán tại ngày 01/01/2017 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,269.188.566.998,,,,,,269188566998.0
