row_label_raw,row_label_full,col_0,31/12/2017VND,31/12/2017VND_1,01/01/2017VND,01/01/2017VND_1,numeric__31/12/2017VND,numeric__31/12/2017VND_1,numeric__01/01/2017VND,numeric__01/01/2017VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",11.343.232.294,-,1.259.671.104,-,11343232294.0,,1259671104.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",240.384.588,-,118.670.206,-,240384588.0,,118670206.0,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),1.238.530.815.688,-,598.274.036.498,-,1238530815688.0,,598274036498.0,
Thành phẩm,Thành phẩm,Thành phẩm,1.095.265.452,-,497.556.759,-,1095265452.0,,497556759.0,
Hàng hoá,Hàng hoá,Hàng hoá,5.364.703.449,-,9.766.636.608,-,5364703449.0,,9766636608.0,
Cộng,Cộng,Cộng,1.256.574.401.471,-,609.916.571.175,-,1256574401471.0,,609916571175.0,
