row_label_raw,row_label_full,col_0,Másố,Số liệu trên báo cáoltai chính hợp nhấtnăm trước,Số liệu điều chỉnh lại,Chênh lệch,Ghi chú,numeric__Másố,numeric__Số liệu trên báo cáoltai chính hợp nhấtnăm trước,numeric__Số liệu điều chỉnh lại,numeric__Chênh lệch,numeric__Ghi chú
,,,Másố,VND,VND,VND,,,,,,
a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,a) Bàng cản đối kế toán hợp nhất,,,,,
- Phải thu ngắn hạn của khách hàng,a) Bàng cản đối kế toán hợp nhất > - Phải thu ngắn hạn của khách hàng,- Phải thu ngắn hạn của khách hàng,131,6.589.932.232.151,8.707.895.013.503,2.117.962.781.352,(i),131.0,6589932232151.0,8707895013503.0,2117962781352.0,
- Trả trước cho người bán ngắn hạn,a) Bàng cản đối kế toán hợp nhất > - Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,132,492.855.483.580,1.071.346.384.233,578.490.900.653,(i),132.0,492855483580.0,1071346384233.0,578490900653.0,
- Phải thu ngắn hạn khác,a) Bàng cản đối kế toán hợp nhất > - Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,136,1.870.908.724.745,1.871.093.978.407,185.253.662,(ii),136.0,1870908724745.0,1871093978407.0,185253662.0,
- Phải thu dài hạn của khách hàng,a) Bàng cản đối kế toán hợp nhất > - Phải thu dài hạn của khách hàng,- Phải thu dài hạn của khách hàng,211,185.253.662,-,(185.253.662),(ii),211.0,185253662.0,,-185253662.0,
- Phải thu dài hạn khác,a) Bàng cản đối kế toán hợp nhất > - Phải thu dài hạn khác,- Phải thu dài hạn khác,216,339.559.367.986,374.887.633.962,35.328.265.976,(vi),216.0,339559367986.0,374887633962.0,35328265976.0,
- Tài sản có định hữu hình,a) Bàng cản đối kế toán hợp nhất > - Tài sản có định hữu hình,- Tài sản có định hữu hình,221,903.007.255.588,890.894.707.226,(12.112.548.352),(vi),221.0,903007255588.0,890894707226.0,-12112548352.0,
- Tổng cộng tài sản,a) Bàng cản đối kế toán hợp nhất > - Tổng cộng tài sản,- Tổng cộng tài sản,270,15.594.229.851.530,18.313.899.251.149,2.719.669.399.619,,270.0,15594229851530.0,18313899251149.0,2719669399619.0,
- Phải trả người bán ngắn hạn,a) Bàng cản đối kế toán hợp nhất > - Phải trả người bán ngắn hạn,- Phải trả người bán ngắn hạn,311,4.738.069.947.173,5.280.712.363.486,542.642.416.313,(i),311.0,4738069947173.0,5280712363486.0,542642416313.0,
- Người mua trả tiền trước ngắn hạn,a) Bàng cản đối kế toán hợp nhất > - Người mua trả tiền trước ngắn hạn,- Người mua trả tiền trước ngắn hạn,312,1.084.853.528.017,3.202.816.309.369,2.117.962.781.352,(i),312.0,1084853528017.0,3202816309369.0,2117962781352.0,
- Phải trả ngắn hạn khác,a) Bàng cản đối kế toán hợp nhất > - Phải trả ngắn hạn khác,- Phải trả ngắn hạn khác,319,383.055.537.213,418.904.021.553,35.848.484.340,(i),319.0,383055537213.0,418904021553.0,35848484340.0,
- Dự phòng phải trả ngắn hạn,a) Bàng cản đối kế toán hợp nhất > - Dự phòng phải trả ngắn hạn,- Dự phòng phải trả ngắn hạn,321,-,37.722.270.047,37.722.270.047,(ii),321.0,,37722270047.0,37722270047.0,
- Thuế thu nhập hoãn lai phải trả,a) Bàng cản đối kế toán hợp nhất > - Thuế thu nhập hoãn lai phải trả,- Thuế thu nhập hoãn lai phải trả,341,413.648.529.640,464.045.854.000,50.397.324.360,(iii),341.0,413648529640.0,464045854000.0,50397324360.0,
- Dự phòng phải trả dài hạn,a) Bàng cản đối kế toán hợp nhất > - Dự phòng phải trả dài hạn,- Dự phòng phải trả dài hạn,342,256.134.528.104,218.412.258.057,(37.722.270.047),(ii),342.0,256134528104.0,218412258057.0,-37722270047.0,
- Lợi nhuận sau thuế chưa phân phối,a) Bàng cản đối kế toán hợp nhất > - Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,421,(2.100.698.427.892),(2.128.479.367.200),(27.780.939.308),(iii),421.0,-2100698427892.0,-2128479367200.0,-27780939308.0,
- Lợi ích cố động không kiểm soát,a) Bàng cản đối kế toán hợp nhất > - Lợi ích cố động không kiểm soát,- Lợi ích cố động không kiểm soát,429,22.055.067.903,22.654.400.465,599.332.562,(vi),429.0,22055067903.0,22654400465.0,599332562.0,
- Tổng cộng nguồn vốn,a) Bàng cản đối kế toán hợp nhất > - Tổng cộng nguồn vốn,- Tổng cộng nguồn vốn,440,15.594.229.851.530,18.313.899.251.149,2.719.669.399.619,,440.0,15594229851530.0,18313899251149.0,2719669399619.0,
