row_label_raw,row_label_full,col_0,Loại tiên,Lãi suất năm,Thời hạn vay,Tài sản đảm bảo,31/12/2023 > VND,01/01/2023 > VND,numeric__Loại tiên,numeric__Lãi suất năm,numeric__Thời hạn vay,numeric__Tài sản đảm bảo,numeric__31/12/2023 > VND,numeric__01/01/2023 > VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.981.518.792.661,5.062.025.967.856,,,,,3981518792661.0,5062025967856.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 08/06/2024 đến ngày 28/11/2024,"Quyền sử dụng đất, nhà cửa vật kiến trúc, máy móc thiết bị, các khoản đầu tư tài chính, Phải thu ngắn hạn của khách hàng",2.099.999.122.426,2.245.982.574.292,,,,,2099999122426.0,2245982574292.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1,VND,Theo từng lần giải ngân,Từ ngày 23/01/2024 đến ngày 19/12/2024,Phải thu ngắn hạn của khách hàng,1.299.986.261.421,1.269.264.353.839,,,,,1299986261421.0,1269264353839.0
Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Hàng Hải - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 31/05/2024 đến ngày 25/12/2024,"Cổ phiếu, Tiến gửi có kỳ hạn, Quyền sử dụng đất",192.163.803.072,302.288.554.396,,,,,192163803072.0,302288554396.0
Ngân hàng TMCP Quốc Dân,Ngân hàng TMCP Quốc Dân,Ngân hàng TMCP Quốc Dân,VND,Theo từng lần giải ngân,Từ ngày 29/01/2024 đến ngày 01/04/2024,Phải thu ngắn hạn của khách hàng,21.869.433.909,245.984.608.882,,,,,21869433909.0,245984608882.0
Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,Ngân hàng TNHH HSBC (Việt Nam) - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 25/02/2023 đến ngày 14/06/2023,Phải thu ngắn hạn của khách hàng,-,191.725.426.010,,,,,,191725426010.0
Ngân hàng TMCP Việt Nam Thỉnh Vương,Ngân hàng TMCP Việt Nam Thỉnh Vương,Ngân hàng TMCP Việt Nam Thỉnh Vương,VND,Theo từng lần giải ngân,Từ ngày 29/04/2024 đến ngày 21/07/2024,Phải thu ngắn hạn của khách hàng,123.073.483.305,171.524.431.179,,,,,123073483305.0,171524431179.0
Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,VND,Theo từng lần giải ngân,Từ ngày 08/06/2023 đến ngày 21/12/2023,Phải thu ngắn hạn của khách hàng,-,149.564.167.448,,,,,,149564167448.0
Ngân hàng TMCP Quân Đội - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Quân Đội - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Quân Đội - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 19/01/2023 đến ngày 12/06/2023,Phải thu ngắn hạn của khách hàng,-,140.478.216.894,,,,,,140478216894.0
Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,Ngân hàng TMCP Đông Nam Á - Chi nhánh Sài Gòn,VND,Theo từng lần giải ngân,Từ ngày 01/02/2024 đến ngày 03/02/2024,Phải thu ngắn hạn của khách hàng,64.237.841.824,64.537.856.868,,,,,64237841824.0,64537856868.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Từ ngày 16/01/2023 đến ngày 24/02/2023,Phải thu ngắn hạn của khách hàng,-,63.414.071.151,,,,,,63414071151.0
Ngân hàng TNHH MTV United Overseas Bank,Ngân hàng TNHH MTV United Overseas Bank,Ngân hàng TNHH MTV United Overseas Bank,VND,Theo từng lần giải ngân,Ngày 15/03/2023,Phải thu ngắn hạn của khách hàng,-,49.727.012.359,,,,,,49727012359.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,VND,Theo từng lần giải ngân,Ngày 22/02/2024,Phải thu ngắn hạn của khách hàng,6.606.347.369,39.208.158.041,,,,,6606347369.0,39208158041.0
Ngân hàng Malayan Banking Berhad - Chi nhánh Hồ Chí Minh,Ngân hàng Malayan Banking Berhad - Chi nhánh Hồ Chí Minh,Ngân hàng Malayan Banking Berhad - Chi nhánh Hồ Chí Minh,VND,Theo từng lần giải ngân,Ngày 09/02/2023,Phải thu ngắn hạn của khách hàng,-,22.033.534.621,,,,,,22033534621.0
