row_label_raw,row_label_full,31/12/2023 > Giá trị,31/12/2023 > Số có khả năng trả nợ,01/01/2023 (đã điều chỉnh) > Giá trị,01/01/2023 (đã điều chỉnh) > Số có khả năng trả nợ,numeric__31/12/2023 > Số có khả năng trả nợ,numeric__01/01/2023 (đã điều chỉnh) > Giá trị,numeric__01/01/2023 (đã điều chỉnh) > Số có khả năng trả nợ
VND,VND,VND,VND,VND,VND,,,
86.406.099.421,VND > 86.406.099.421,86.406.099.421,86.406.099.421,130.527.899.453,130.527.899.453,86406099421.0,130527899453.0,130527899453.0
39.432.000.845,VND > 39.432.000.845,39.432.000.845,39.432.000.845,66.320.236.859,66.320.236.859,39432000845.0,66320236859.0,66320236859.0
35.266.738.582,VND > 35.266.738.582,35.266.738.582,35.266.738.582,54.258.695.691,54.258.695.691,35266738582.0,54258695691.0,54258695691.0
11.707.359.994,VND > 11.707.359.994,11.707.359.994,11.707.359.994,9.948.966.903,9.948.966.903,11707359994.0,9948966903.0,9948966903.0
4.714.616.441.756,VND > 4.714.616.441.756,4.714.616.441.756,4.714.616.441.756,5.150.184.464.033,5.150.184.464.033,4714616441756.0,5150184464033.0,5150184464033.0
104.785.668.724,VND > 104.785.668.724,104.785.668.724,104.785.668.724,155.324.884.567,155.324.884.567,104785668724.0,155324884567.0,155324884567.0
100.717.893.646,VND > 100.717.893.646,100.717.893.646,100.717.893.646,65.489.176.363,65.489.176.363,100717893646.0,65489176363.0,65489176363.0
92.658.608.256,VND > 92.658.608.256,92.658.608.256,92.658.608.256,30.423.507.008,30.423.507.008,92658608256.0,30423507008.0,30423507008.0
99.106.583.993,VND > 99.106.583.993,99.106.583.993,99.106.583.993,30.006.991.336,30.006.991.336,99106583993.0,30006991336.0,30006991336.0
90.555.998.712,VND > 90.555.998.712,90.555.998.712,90.555.998.712,87.640.371.126,87.640.371.126,90555998712.0,87640371126.0,87640371126.0
81.233.047.008,VND > 81.233.047.008,81.233.047.008,81.233.047.008,1.535.403.409,1.535.403.409,81233047008.0,1535403409.0,1535403409.0
47.491.847.512,VND > 47.491.847.512,47.491.847.512,47.491.847.512,84.549.955.146,84.549.955.146,47491847512.0,84549955146.0,84549955146.0
55.790.711.622,VND > 55.790.711.622,55.790.711.622,55.790.711.622,80.677.973.150,80.677.973.150,55790711622.0,80677973150.0,80677973150.0
64.945.977.664,VND > 64.945.977.664,64.945.977.664,64.945.977.664,83.860.720.499,83.860.720.499,64945977664.0,83860720499.0,83860720499.0
3.977.330.104.619,VND > 3.977.330.104.619,3.977.330.104.619,3.977.330.104.619,4.530.675.481.429,4.530.675.481.429,3977330104619.0,4530675481429.0,4530675481429.0
4.801.022.541.177,VND > 4.801.022.541.177,4.801.022.541.177,4.801.022.541.177,5.280.712.363.486,5.280.712.363.486,4801022541177.0,5280712363486.0,5280712363486.0
