row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm 2023 > VND,Năm 2022 (đã điều chỉnh) > VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm 2023 > VND,numeric__Năm 2022 (đã điều chỉnh) > VND
,,,I. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,Lợi nhuận trước thuế,,(1.079.816.792.226),(2.332.932.316.995),,,-1079816792226.0,-2332932316995.0
,,,2. Điều chỉnh cho các khoản,,,,,,,
02,02,02,- Khấu hao tài sản cố định và bất động sản đầu tư,,241.775.824.509,232.920.437.630,,,241775824509.0,232920437630.0
03,03,03,- Các khoản dự phóng,,412.928.837.986,1.745.276.204.721,,,412928837986.0,1745276204721.0
04,04,04,"- Lãi, lỗ chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,178.601.329,59.080.965,,,178601329.0,59080965.0
05,05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(3.778.002.965),(28.234.340.302),,,-3778002965.0,-28234340302.0
06,06,06,- Chi phí lãi vay,,557.095.371.780,519.862.290.250,,,557095371780.0,519862290250.0
08,08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,128.383.840.413,136.941.356.269,,,128383840413.0,136941356269.0
09,09,09,"- Tăng, giảm các khoản phải thu",,2.044.659.746.432,(1.164.767.160.392),,,2044659746432.0,-1164767160392.0
10,10,10,"- Tăng, giảm hàng tồn kho",,(74.989.354.377),(186.009.283.941),,,-74989354377.0,-186009283941.0
11,11,11,"- Tăng, giảm các khoản phải trả",,(585.406.557.146),924.499.302.203,,,-585406557146.0,924499302203.0
12,12,12,"- Tăng, giảm chi phí trả trước",,153.344.548.584,(42.696.205.844),,,153344548584.0,-42696205844.0
14,14,14,- Tiền lãi vay đã trả,,(548.791.535.045),(494.805.134.460),,,-548791535045.0,-494805134460.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(3.386.162.841),(37.496.857.617),,,-3386162841.0,-37496857617.0
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,(1.394.917.336),(18.734.178.414),,,-1394917336.0,-18734178414.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.112.419.608.684,(883.068.162.196),,,1112419608684.0,-883068162196.0
,,,II. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LUFU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,21,21,"1. Tiền chỉ để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",,(8.098.003.941),(254.133.268.939),,,-8098003941.0,-254133268939.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,43.366.034.888,27.403.596.964,,,43366034888.0,27403596964.0
23,23,23,"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(51.170.419.344),(112.364.914.924),,,-51170419344.0,-112364914924.0
24,24,24,"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,154.736.111.733,73.996.492.540,,,154736111733.0,73996492540.0
25,25,25,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,,,(364.520.000.000),,,,-364520000000.0
26,26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,33.170.497.349,57.995.189.936,,,33170497349.0,57995189936.0
27,27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,3.561.206.568,18.601.895.717,,,3561206568.0,18601895717.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,175.565.427.253,(553.021.008.706),,,175565427253.0,-553021008706.0
