row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc(dã điều chỉnh)","Máy móc, thiết bị","Phương tiện vântai, truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa,vật kiến trúc(dã điều chỉnh)","numeric__Máy móc, thiết bị","numeric__Phương tiện vântai, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,61.169.874.768,2.014.124.768.407,75.291.769.891,22.119.231.426,2.172.705.644.492,61169874768.0,2014124768407.0,75291769891.0,22119231426.0,2172705644492.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,5.939.517.018,-,63.024.000,6.002.541.018,,5939517018.0,,63024000.0,6002541018.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,996.978.903,-,-,-,996.978.903,996978903.0,,,,996978903.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3.486.815.680),(117.084.288.158),(371.818.182),(984.709.895),(121.927.631.915),-3486815680.0,-117084288158.0,-371818182.0,-984709895.0,-121927631915.0
- Giảm do thoái vốn công ty con,Nguyên giá > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(100.000.000),-,-,-,(100.000.000),-100000000.0,,,,-100000000.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(686.363.637),-,(156.437.764),(842.801.401),,-686363637.0,,-156437764.0,-842801401.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,58.580.037.991,1.902.293.633.630,74.919.951.709,21.041.107.767,2.056.834.731.097,58580037991.0,1902293633630.0,74919951709.0,21041107767.0,2056834731097.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,21.244.983.445,1.186.959.856.254,53.815.511.358,19.790.586.209,1.281.810.937.266,21244983445.0,1186959856254.0,53815511358.0,19790586209.0,1281810937266.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.232.654.596,196.327.531.494,11.082.510.273,980.716.729,212.623.413.091,4232654596.0,196327531494.0,11082510273.0,980716729.0,212623413091.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3.486.815.680),(86.260.278.880),(298.357.797),(890.159.317),(90.935.611.674),-3486815680.0,-86260278880.0,-298357797.0,-890159317.0,-90935611674.0
- Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(19.999.992),-,-,-,(19.999.992),-19999992.0,,,,-19999992.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(686.363.637),-,(156.437.764),(842.801.401),,-686363637.0,,-156437764.0,-842801401.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,21.970.822.369,1.296.340.745.231,64.599.663.834,19.724.705.857,1.402.635.937.290,21970822369.0,1296340745231.0,64599663834.0,19724705857.0,1402635937290.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,39.924.891.323,827.164.912.153,21.476.258.533,2.328.645.217,890.894.707.226,39924891323.0,827164912153.0,21476258533.0,2328645217.0,890894707226.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,36.609.215.622,605.952.888.400,10.320.287.876,1.316.401.910,654.198.793.807,36609215622.0,605952888400.0,10320287876.0,1316401910.0,654198793807.0
