row_label_raw,row_label_full,Tổ chức thu xếp phát hành,Trải chủ,Ngày đáo hạn,Mục đích phát hành,Tài sản đảm bảo,31/12/2023,01/01/2023,numeric__Trải chủ,numeric__Ngày đáo hạn,numeric__Mục đích phát hành,numeric__Tài sản đảm bảo,numeric__31/12/2023,numeric__01/01/2023
,,,,,,,VND,VND,,,,,,
Công ty chứng khoán ACB,Công ty chứng khoán ACB,Công ty chứng khoán ACB,Ngân hàng TMCP Hàng hải Việt Nam - Chi nhánh Hồ Chí Minh,Ngày 30 tháng 12 năm 2026,Bổ sung vốn lưu động,"Các khoản tương đương tiền, cổ phiếu của Công ty, Giấy chứng nhận quyền sử dụng đất",376.000.000.000,376.000.000.000,,,,,376000000000.0,376000000000.0
Công ty chứng khoán ACB,Công ty chứng khoán ACB,Công ty chứng khoán ACB,Quỹ Đầu tư hạ tầng PVI,Ngày 27 tháng 01 năm 2025,Bổ sung vốn lưu động,Bảo lãnh thanh toán bởi Ngân hàng TMCP Hàng Hải Việt Nam,37.000.000.000,75.000.000.000,,,,,37000000000.0,75000000000.0
Công ty chứng khoán ACB,Công ty chứng khoán ACB,Công ty chứng khoán ACB,Quỹ Đầu tư cơ hội PVI,Ngày 27 tháng 01 năm 2025,Bổ sung vốn lưu động,Bảo lãnh thanh toán bởi Ngân hàng TMCP Hàng Hải Việt Nam,213.000.000.000,425.000.000.000,,,,,213000000000.0,425000000000.0
Công ty CP Chứng khoán Ngân hàng TMCP Công thương Việt Nam,Công ty CP Chứng khoán Ngân hàng TMCP Công thương Việt Nam,Công ty CP Chứng khoán Ngân hàng TMCP Công thương Việt Nam,Công ty CP Chứng khoán Ngân hàng TMCP Công thương Việt Nam,Ngày 31 tháng 10 năm 2025,Bổ sung vốn lưu động,"Tiền gửi có kỳ hạn, máy móc thiết bị",64.600.000.000,94.600.000.000,,,,,64600000000.0,94600000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(6.605.333.332),(8.922.666.667),,,,,-6605333332.0,-8922666667.0
,,,,,,,683.994.666.668,961.677.333.333,,,,,683994666668.0,961677333333.0
"Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.","Các khoản trái phiếu có lãi suất kỳ đầu tiên từ 9,6%/năm đến 11%/năm, các kỳ tính lãi tiếp theo được thả nổi theo lãi suất cơ sở quy định theo từng hợp đồng công với biển độ dao động từ 4%/năm đến 4,5%/năm. Các tài sản đảm bảo đã được đăng ký giao dịch bảo đảm đầy đủ.",,,,,,
(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,(iv) Thông tin chi tiết liên quan đến các khoản nợ thuê tài chính:,,,,,,
Hợp đồng thuê tài chính,Hợp đồng thuê tài chính,Hợp đồng thuê tài chính,Loại tài sản,Tổng giá trị nợ gốc,Thời hạn thuê,Lãi suất,31/12/2023,01/01/2023,,,,,,
,,,,VND,VND,VND,VND,VND,,,,,,
