row_label_raw,row_label_full,col_0,Năm 2023,Năm 2022(dã điều chỉnh),numeric__Năm 2023,numeric__Năm 2022(dã điều chỉnh)
,,,VND,VND,,
Giá vốn hợp đồng xây dựng (i),Giá vốn hợp đồng xây dựng (i),Giá vốn hợp đồng xây dựng (i),6.959.137.744.943,13.389.982.649.955,6959137744943.0,13389982649955.0
Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,,13.192.828.327,,13192828327.0
"Giá vốn bán hàng hóa, thành phẩm","Giá vốn bán hàng hóa, thành phẩm","Giá vốn bán hàng hóa, thành phẩm",39.128.490.540,76.268.625.268,39128490540.0,76268625268.0
"Giá vốn dịch vụ môi giới, tư vấn, quản lý, vận hành","Giá vốn dịch vụ môi giới, tư vấn, quản lý, vận hành","Giá vốn dịch vụ môi giới, tư vấn, quản lý, vận hành",11.296.764.093,7.771.751.983,11296764093.0,7771751983.0
"Giá vốn cho thuê bất động sản (đất, cơ sở hạ tầng, nhà xưởng, văn phòng, nhà ở)","Giá vốn cho thuê bất động sản (đất, cơ sở hạ tầng, nhà xưởng, văn phòng, nhà ở)","Giá vốn cho thuê bất động sản (đất, cơ sở hạ tầng, nhà xưởng, văn phòng, nhà ở)",262.582.039.608,199.405.394.176,262582039608.0,199405394176.0
Giá vốn dịch vụ tư vấn xây dựng,Giá vốn dịch vụ tư vấn xây dựng,Giá vốn dịch vụ tư vấn xây dựng,9.962.950.356,11.348.797.347,9962950356.0,11348797347.0
Giá vốn dự án năng lượng mặt trời,Giá vốn dự án năng lượng mặt trời,Giá vốn dự án năng lượng mặt trời,8.461.198.008,8.668.815.399,8461198008.0,8668815399.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(484.449.587),,-484449587.0,
Giá vốn hàng bán khác,Giá vốn hàng bán khác,Giá vốn hàng bán khác,2.925.087.315,719.285.016,2925087315.0,719285016.0
,,,7.293.009.825.276,13.707.358.147.471,7293009825276.0,13707358147471.0
Trong đó: Mua hàng từ các bên liên quanTổng giá trị mua vào:(Xem thông tin chỉ tiết tại Thuyết minh 47),Trong đó: Mua hàng từ các bên liên quanTổng giá trị mua vào:(Xem thông tin chỉ tiết tại Thuyết minh 47),Trong đó: Mua hàng từ các bên liên quanTổng giá trị mua vào:(Xem thông tin chỉ tiết tại Thuyết minh 47),115.719.728.753,281.766.652.899,115719728753.0,281766652899.0
