row_label_raw,row_label_full,col_0,Lợi thếthương mạiVND,numeric__Lợi thếthương mạiVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,61.896.518.318,61896518318.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,61.896.518.318,61896518318.0
Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,
Số dư đầu năm,Số phân bổ lũy kế > Số dư đầu năm,Số dư đầu năm,41.245.475.468,41245475468.0
- Số phân bổ trong năm,Số phân bổ lũy kế > - Số phân bổ trong năm,- Số phân bổ trong năm,6.986.195.084,6986195084.0
Số dư cuối năm,Số phân bổ lũy kế > Số dư cuối năm,Số dư cuối năm,48.231.670.552,48231670552.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
- Số dư đầu năm,Giá trị còn lại > - Số dư đầu năm,- Số dư đầu năm,20.651.042.850,20651042850.0
- Số dư cuối năm,Giá trị còn lại > - Số dư cuối năm,- Số dư cuối năm,13.664.847.766,13664847766.0
