row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoài,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối (đã điều chỉnh),Lợi ích cổ đông không kiểm soát (đã điều chỉnh),Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoài,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối (đã điều chỉnh),numeric__Lợi ích cổ đông không kiểm soát (đã điều chỉnh),numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.424.157.840.000,346.669.112.981,56.445.099,96.832.479.438,804.561.352.377,396.378.383.501,4.068.655.613.396,2424157840000.0,346669112981.0,56445099.0,96832479438.0,804561352377.0,396378383501.0,4068655613396.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,145.300.700.000,112.500.000.000,-,-,-,-,257.800.700.000,145300700000.0,112500000000.0,,,,,257800700000.0
Chỉ phí phát hành cổ phiếu,Chỉ phí phát hành cổ phiếu,Chỉ phí phát hành cổ phiếu,-,(200.000.000),-,-,-,-,(200.000.000),,-200000000.0,,,,,-200000000.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,-,(2.606.145.518.734),(3.640.595.854),(2.609.786.114.588),,,,,-2606145518734.0,-3640595854.0,-2609786114588.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(73.696.306.200),-,(73.696.306.200),,,,,-73696306200.0,,-73696306200.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,171.874.160.000,-,-,-,(171.874.160.000),-,-,171874160000.0,,,,-171874160000.0,,
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,4.363.034,(4.363.034),-,-,,,,4363034.0,-4363034.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(8.726.069),-,(8.726.069),,,,,-8726069.0,,-8726069.0
Thường Ban Điều hành và cán bộ chủ chốt,Thường Ban Điều hành và cán bộ chủ chốt,Thường Ban Điều hành và cán bộ chủ chốt,-,-,-,-,(2.175.601.743),(13.413.686),(2.189.015.429),,,,,-2175601743.0,-13413686.0,-2189015429.0
Mua thêm công ty con,Mua thêm công ty con,Mua thêm công ty con,-,-,-,-,(79.002.556.996),(370.083.387.182),(449.085.944.178),,,,,-79002556996.0,-370083387182.0,-449085944178.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(133.486.801),13.413.686,(120.073.115),,,,,-133486801.0,13413686.0,-120073115.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(2.128.479.367.200),22.654.400.465,1.191.370.133.817,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-2128479367200.0,22654400465.0,1191370133817.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(2.128.479.367.200),22.654.400.465,1.191.370.133.817,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-2128479367200.0,22654400465.0,1191370133817.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,(1.110.747.492.552),(4.590.029.716),(1.115.337.522.268),,,,,-1110747492552.0,-4590029716.0,-1115337522268.0
Công ty con chia cổ tức,Công ty con chia cổ tức,Công ty con chia cổ tức,-,-,-,-,-,(4.201.838.112),(4.201.838.112),,,,,,-4201838112.0,-4201838112.0
Do công ty con tăng vốn,Do công ty con tăng vốn,Do công ty con tăng vốn,-,-,-,-,-,23.000.000.000,23.000.000.000,,,,,,23000000000.0,23000000000.0
Do thoái vốn tai công ty con,Do thoái vốn tai công ty con,Do thoái vốn tai công ty con,-,-,-,-,-,(350.000.000),(350.000.000),,,,,,-350000000.0,-350000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(1.099.785.207),-,(1.099.785.207),,,,,-1099785207.0,,-1099785207.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(3.240.326.644.959),36.512.532.637,93.380.988.230,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-3240326644959.0,36512532637.0,93380988230.0
