row_label_raw,row_label_full,Tên công ty nhận đầu tư,Trụ sở chính,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Tình trạng hoạt động,Hoạt động kinh doanh chính,numeric__Trụ sở chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Tình trạng hoạt động,numeric__Hoạt động kinh doanh chính
Công ty CP Du lịch Hòa Bình Việt Nam,Công ty CP Du lịch Hòa Bình Việt Nam,Công ty CP Du lịch Hòa Bình Việt Nam,Thành phố Hồ Chí Minh,"10,00%","10,00%",Đang hoạt động,"Cung cấp dịch vụ lữ hành, du lịch, vận chuyển hành khách",,0.1,0.1,,
Công ty CP Sài Gòn - Rạch Giá,Công ty CP Sài Gòn - Rạch Giá,Công ty CP Sài Gòn - Rạch Giá,Kiên Giang,"10,24%","10,24%",Đang hoạt động,Cung cấp dịch vụ lưu trú ngắn ngày,,0.1024,0.1024,,
Công ty CP Jesco Asia,Công ty CP Jesco Asia,Công ty CP Jesco Asia,Thành phố Hồ Chí Minh,"3,23%","3,23%",Đang hoạt động,Xây dựng,,0.0323,0.0323,,
Công ty CP Tập đoàn Đầu tư TRV Holding,Công ty CP Tập đoàn Đầu tư TRV Holding,Công ty CP Tập đoàn Đầu tư TRV Holding,Hà Nội,"10,00%","10,00%",Đang hoạt động,Cung cấp dịch vụ tư vấn đầu tư,,0.1,0.1,,
