row_label_raw,row_label_full,col_0,Hoạt động xây dựng,Hoạt động cho thuê bất động sản,Hoạt động đầu tư bất động sản và quyền sử dụng đất,Hoạt động khác,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Hoạt động xây dựng,numeric__Hoạt động cho thuê bất động sản,numeric__Hoạt động đầu tư bất động sản và quyền sử dụng đất,numeric__Hoạt động khác,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bản hàng ra bên ngoài,Doanh thu thuần từ bản hàng ra bên ngoài,Doanh thu thuần từ bản hàng ra bên ngoài,7.158.312.366.204,256.458.884.259,-,122.325.330.383,,7.537.096.580.846,7158312366204.0,256458884259.0,,122325330383.0,,7537096580846.0
Doanh thu thuần từ bản hàng nội bộ,Doanh thu thuần từ bản hàng nội bộ,Doanh thu thuần từ bản hàng nội bộ,109.048.890.379,10.767.053.105,-,199.180.433.781,(318.996.377.265),-,109048890379.0,10767053105.0,,199180433781.0,-318996377265.0,
Giá vốn hàng bản,Giá vốn hàng bản,Giá vốn hàng bản,6.959.137.744.943,262.582.039.608,-,71.290.040.725,,7.293.009.825.276,6959137744943.0,262582039608.0,,71290040725.0,,7293009825276.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,199.174.621.261,(6.123.155.349),-,(76.855.103.398),-,244.086.755.570,199174621261.0,-6123155349.0,,-76855103398.0,,244086755570.0
Tổng chỉ phí mua TSCĐ,Tổng chỉ phí mua TSCĐ,Tổng chỉ phí mua TSCĐ,5.029.085.018,2.493.011.253,-,575.897.670,,8.098.003.941,5029085018.0,2493011253.0,,575897670.0,,8098003941.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,11.284.459.337.143,584.084.640.167,3.103.767.930.572,394.283.630.480,(627.672.666.927),14.738.922.871.435,11284459337143.0,584084640167.0,3103767930572.0,394283630480.0,-627672666927.0,14738922871435.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,510.934.164.786,,,,,,510934164786.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,11.284.459.337.143,584.084.640.167,3.103.767.930.572,394.283.630.480,(627.672.666.927),15.249.857.036.221,11284459337143.0,584084640167.0,3103767930572.0,394283630480.0,-627672666927.0,15249857036221.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,12.210.703.589.066,371.233.616.392,2.483.618.670.178,301.075.604.946,(627.672.666.927),14.738.958.813.655,12210703589066.0,371233616392.0,2483618670178.0,301075604946.0,-627672666927.0,14738958813655.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,417.517.234.336,,,,,,417517234336.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,12.210.703.589.066,371.233.616.392,2.483.618.670.178,301.075.604.946,(627.672.666.927),15.156.476.047.991,12210703589066.0,371233616392.0,2483618670178.0,301075604946.0,-627672666927.0,15156476047991.0
