row_label_raw,row_label_full,Näm 2023,Näm 2022,numeric__Näm 2022
VND,VND,VND,VND,
2.059.045.843.198,VND > 2.059.045.843.198,2.059.045.843.198,437.144.882.886,437144882886.0
689.481.735.192,VND > 689.481.735.192,689.481.735.192,1.781.369.872.364,1781369872364.0
(272.019.632.112),VND > (272.019.632.112),(272.019.632.112),(159.468.912.052),-159468912052.0
(110.000),(110.000),(110.000),-,
2.476.507.836.278,(110.000) > 2.476.507.836.278,2.476.507.836.278,2.059.045.843.198,2059045843198.0
