row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm quản lý,TSCĐ vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm quản lý,numeric__TSCĐ vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,42.297.185.783,30.422.640.728,1.216.005.358,73.935.831.869,42297185783.0,30422640728.0,1216005358.0,73935831869.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,7.154.000.000,-,7.154.000.000,,7154000000.0,,7154000000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(280.000.000),-,(280.000.000),,-280000000.0,,-280000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,42.297.185.783,37.296.640.728,1.216.005.358,80.809.831.869,42297185783.0,37296640728.0,1216005358.0,80809831869.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,22.565.124.735,1.216.005.358,23.781.130.093,,22565124735.0,1216005358.0,23781130093.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,-,3.222.646.067,-,3.222.646.067,,3222646067.0,,3222646067.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(228.667.904),-,(228.667.904),,-228667904.0,,-228667904.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,25.559.102.898,1.216.005.358,26.775.108.256,,25559102898.0,1216005358.0,26775108256.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,42.297.185.783,7.857.515.993,-,50.154.701.776,42297185783.0,7857515993.0,,50154701776.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,42.297.185.783,11.737.537.830,-,54.034.723.613,42297185783.0,11737537830.0,,54034723613.0
