row_label_raw,row_label_full,col_0,Mã số,Số liệu trên bảo cáo tài chính hợp nhất năm trước > VND,Số liệu điều chỉnh lại > VND,Chênh lệch > VND,Ghi chú,numeric__Mã số,numeric__Số liệu trên bảo cáo tài chính hợp nhất năm trước > VND,numeric__Số liệu điều chỉnh lại > VND,numeric__Chênh lệch > VND,numeric__Ghi chú
b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,,
- Giá vốn hàng bán,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Giá vốn hàng bán,- Giá vốn hàng bán,11,13.678.613.199.513,13.707.358.147.471,28.744.947.958,(iv),11.0,13678613199513.0,13707358147471.0,28744947958.0,
- Chi phí quản lý doanh nghiệp,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,26,2.246.236.740.703,2.245.227.361.675,(1.009.379.028),,26.0,2246236740703.0,2245227361675.0,-1009379028.0,
- Thu nhập khác,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Thu nhập khác,- Thu nhập khác,31,25.767.447.734,54.512.395.692,28.744.947.958,(iv),31.0,25767447734.0,54512395692.0,28744947958.0,
- Tổng lợi nhuận kế toán trước thuế,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Tổng lợi nhuận kế toán trước thuế,- Tổng lợi nhuận kế toán trước thuế,50,(2.333.941.696.023),(2.332.932.316.995),1.009.379.028,,50.0,-2333941696023.0,-2332932316995.0,1009379028.0,
- Chi phí thuế TNDN hoãn lại,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Chi phí thuế TNDN hoãn lại,- Chi phí thuế TNDN hoãn lại,52,232.728.899.426,273.047.730.111,40.318.830.685,(iii),52.0,232728899426.0,273047730111.0,40318830685.0,
- Lợi nhuận sau thuế TNDN,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Lợi nhuận sau thuế TNDN,- Lợi nhuận sau thuế TNDN,60,(2.570.476.662.931),(2.609.786.114.588),(39.309.451.657),(iii),60.0,-2570476662931.0,-2609786114588.0,-39309451657.0,
- Lợi nhuận sau thuế của công ty me,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Lợi nhuận sau thuế của công ty me,- Lợi nhuận sau thuế của công ty me,61,(2.566.811.094.887),(2.606.145.518.734),(39.334.423.847),(iii),61.0,-2566811094887.0,-2606145518734.0,-39334423847.0,
- Lợi nhuận sau thuế của cổ đông không kiểm soát,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,62,(3.665.568.044),(3.640.595.854),24.972.190,(vi),62.0,-3665568044.0,-3640595854.0,24972190.0,
- Lãi cơ bản trên cổ phiếu,b) Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Lãi cơ bản trên cổ phiếu,- Lãi cơ bản trên cổ phiếu,70,(9.698),(9.846),(148),,70.0,-9698.0,-9846.0,-148.0,
c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,c) Báo cáo lưu chuyển tiền tệ hợp nhất,,,,,
- Lợi nhuận trước thuế,c) Báo cáo lưu chuyển tiền tệ hợp nhất > - Lợi nhuận trước thuế,- Lợi nhuận trước thuế,01,(2.333.941.696.023),(2.332.932.316.995),1.009.379.028,(vi),1.0,-2333941696023.0,-2332932316995.0,1009379028.0,
- Khấu hao tài sản cổ định và bắt,c) Báo cáo lưu chuyển tiền tệ hợp nhất > - Khấu hao tài sản cổ định và bắt,- Khấu hao tài sản cổ định và bắt,02,233.929.816.658,232.920.437.630,(1.009.379.028),(vi),2.0,233929816658.0,232920437630.0,-1009379028.0,
"- Tăng, giảm các khoản phải thu","c) Báo cáo lưu chuyển tiền tệ hợp nhất > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(899.332.414.224),(1.164.767.160.392),(265.434.746.168),(i),9.0,-899332414224.0,-1164767160392.0,-265434746168.0,
"- Tăng, giảm các khoản phải trả","c) Báo cáo lưu chuyển tiền tệ hợp nhất > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,659.064.556.035,924.499.302.203,265.434.746.168,(i),11.0,659064556035.0,924499302203.0,265434746168.0,
- Tiền trả nợ gốc vay,c) Báo cáo lưu chuyển tiền tệ hợp nhất > - Tiền trả nợ gốc vay,- Tiền trả nợ gốc vay,34,(9.383.867.426.474),(9.383.156.323.610),711.102.864,(vi),34.0,-9383867426474.0,-9383156323610.0,711102864.0,
- Tiền trả nợ gốc thuế tài chính,c) Báo cáo lưu chuyển tiền tệ hợp nhất > - Tiền trả nợ gốc thuế tài chính,- Tiền trả nợ gốc thuế tài chính,35,-,(711.102.864),(711.102.864),(vi),35.0,,-711102864.0,-711102864.0,
