row_label_raw,row_label_full,col_0,Mã số,Số dư chưa có xác nhận > Tại 31/12/2023 > tỷ VND,Số dư chưa có xác nhận > Tại 31/12/2022 > tỷ VND,numeric__Mã số,numeric__Số dư chưa có xác nhận > Tại 31/12/2023 > tỷ VND,numeric__Số dư chưa có xác nhận > Tại 31/12/2022 > tỷ VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,"2.938,4","2.739,6",131.0,2938.4,2739.6
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,"705,6","727,4",132.0,705.6,727.4
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,"455,3","459,9",136.0,455.3,459.9
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,"1.691,1","1.888,7",311.0,1691.1,1888.7
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,"1.277,6","1.266,8",312.0,1277.6,1266.8
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,"172,7","116,5",319.0,172.7,116.5
Các khoản vay,Các khoản vay,Các khoản vay,"320,338","57,9","194,9",320.338,57.9,194.9
