row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,,
Tập đoàn Geleximco- Công ty CP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoàn Geleximco- Công ty CP,Tập đoàn Geleximco- Công ty CP,Tiền gửi,(103),(327),,-103.0,-327.0
Tập đoàn Geleximco- Công ty CP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoàn Geleximco- Công ty CP,Tập đoàn Geleximco- Công ty CP,Phải thu tiền bán cổ phiếuABS,35.855,35.855,,35855.0,35855.0
Tập đoàn Geleximco- Công ty CP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoàn Geleximco- Công ty CP,Tập đoàn Geleximco- Công ty CP,Đặt cọc thuê văn phòng,7.437,7.437,,7437.0,7437.0
Tập đoàn Geleximco- Công ty CP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoàn Geleximco- Công ty CP,Tập đoàn Geleximco- Công ty CP,Vốn góp tại Ngân hàng,(1.202.403),(890.669),,-1202403.0,-890669.0
Tập đoàn Geleximco- Công ty CP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoàn Geleximco- Công ty CP,Tập đoàn Geleximco- Công ty CP,Góp vốn đầu tư,43.000,38.000,,43000.0,38000.0
Tập đoàn Geleximco- Công ty CP,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tập đoàn Geleximco- Công ty CP,Tập đoàn Geleximco- Công ty CP,Lãi phải thu từ góp vốnđầu tư,1.203,1.015,,1203.0,1015.0
Malayan BankingBerhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan BankingBerhad - Maylaysia,Malayan BankingBerhad - Maylaysia,Tiền gửi,(682),(6.614),,-682.0,-6614.0
Malayan BankingBerhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan BankingBerhad - Maylaysia,Malayan BankingBerhad - Maylaysia,Vốn góp tại Ngân hàng,(1.542.578),(1.142.650),,-1542578.0,-1142650.0
Malayan BankingBerhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan BankingBerhad - Maylaysia,Malayan BankingBerhad - Maylaysia,Gửi tiền tại MalayanBanking Berhad,2.204,2.202,,2204.0,2202.0
