row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022%/năm,Ngày 31 tháng 12năm 2021%/năm,numeric__Ngày 31 tháng 12năm 2022%/năm,numeric__Ngày 31 tháng 12năm 2021%/năm
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,"0,20","0,20",0.2,0.2
Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,"0,00","0,00",0.0,0.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,"1,00 - 11,70","0,20 - 8,20",,
Tiền gửi tiết kiệm CKH bằng VND,Tiền gửi tiết kiệm CKH bằng VND,Tiền gửi tiết kiệm CKH bằng VND,"1,00 - 13,10","0,20 - 8,30",,
Tiền gửi CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng VND > Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi tiết kiệm CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng VND > Tiền gửi tiết kiệm CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng ngoại tệ,"0,00","0,00",0.0,0.0
