row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,228.460,410.369,878,639.707,228460.0,410369.0,878.0,639707.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,118.789,42.403,-,161.192,118789.0,42403.0,,161192.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,347.249,452.772,878,800.899,347249.0,452772.0,878.0,800899.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,4.069,272.404,878,277.351,4069.0,272404.0,878.0,277351.0
Hảo mòn trong năm,Giá trị hao mòn lũy kế > Hảo mòn trong năm,Hảo mòn trong năm,2.098,30.402,-,32.500,2098.0,30402.0,,32500.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,6.167,302.806,878,309.851,6167.0,302806.0,878.0,309851.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,224.391,137.965,-,362.356,224391.0,137965.0,,362356.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,341.082,149.966,-,491.048,341082.0,149966.0,,491048.0
