row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022%,Ngày 31 tháng 12năm 2021%,numeric__Ngày 31 tháng 12năm 2022%,numeric__Ngày 31 tháng 12năm 2021%
Bằng VND,Bằng VND,Bằng VND,"2,90 - 11,00","1,60 - 6,50",,
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,"4,12 - 4,60","0,01 - 0,25",,
