row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,21.661,20.064,,21661.0,20064.0
Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Chủ tịch,6.787,6.676,,6787.0,6676.0
Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Phó Chủ tịch,6.313,5.104,,6313.0,5104.0
Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Thành viên độc lập,1.707,1.596,,1707.0,1596.0
Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Thành viên độc lập,1.973,1.862,,1973.0,1862.0
Ông Soon Su Long,Ông Soon Su Long,Ông Soon Su Long,Thành viên,1.719,1.615,,1719.0,1615.0
Bà Iris Fang,Bà Iris Fang,Bà Iris Fang,Thành viên,1.422,1.596,,1422.0,1596.0
Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Thành viên,1.740,1.615,,1740.0,1615.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,4.080,4.080,,4080.0,4080.0
Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Trường ban,2.400,2.400,,2400.0,2400.0
Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Thành viênchuyên trách,600,600,,600.0,600.0
Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Thành viênbán chuyên trách,1.080,1.080,,1080.0,1080.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,3.300,2.530,,3300.0,2530.0
Ông Nguyễn Mạnh Quân,Ông Nguyễn Mạnh Quân,Ông Nguyễn Mạnh Quân,Quyền Tổng Giám đốc,3.300,2.530,,3300.0,2530.0
