row_label_raw,row_label_full,Phân loại,Dự nợ cho vay Triệu đồng,Dự phòng cụ thể (*) Triệu đồng,Dự phòng chung Triệu đồng,Tổng số dự phòng Triệu đồng,numeric__Dự nợ cho vay Triệu đồng,numeric__Dự phòng cụ thể (*) Triệu đồng,numeric__Dự phòng chung Triệu đồng,numeric__Tổng số dự phòng Triệu đồng
Nợ dữ tiêu chuẩn,Nợ dữ tiêu chuẩn,Nợ dữ tiêu chuẩn,77.986.208,5.044,584.897,589.941,77986208.0,5044.0,584897.0,589941.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,1.658.835,25.667,12.441,38.108,1658835.0,25667.0,12441.0,38108.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,540.524,32.188,4.054,36.242,540524.0,32188.0,4054.0,36242.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,420.714,62.787,3.155,65.942,420714.0,62787.0,3155.0,65942.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,1.404.371,296.300,-,296.300,1404371.0,296300.0,,296300.0
,,,82.010.652,421.986,604.547,1.026.533,82010652.0,421986.0,604547.0,1026533.0
